,keV,f1
0,2.0035635,48.341
1,2.0135813,47.5503
2,2.0213134,45.4969
3,2.0236492,39.5706
4,2.0258868,45.5521
5,2.0337675,48.0629
6,2.0439363,49.3775
7,2.054156,50.2322
8,2.0644268,50.8904
9,2.0747489,51.4348
10,2.0851227,51.9021
11,2.0955483,52.312
12,2.106026,52.6757
13,2.1165562,52.9993
14,2.1271389,53.2853
15,2.1377746,53.5488
16,2.1484635,53.7932
17,2.1592058,54.0184
18,2.1700018,54.2241
19,2.1808519,54.4098
20,2.1917561,54.5741
21,2.2027149,54.7142
22,2.2137285,54.8252
23,2.2247971,54.8972
24,2.2359211,54.9095
25,2.2471007,54.8064
26,2.2583362,54.313
27,2.2608064,53.9624
28,2.2661935,54.0354
29,2.2696279,54.6022
30,2.280976,55.4404
31,2.2923809,55.9313
32,2.3038428,56.3087
33,2.315362,56.6256
34,2.3269388,56.9029
35,2.3385735,57.1509
36,2.3502664,57.3751
37,2.3620177,57.5785
38,2.3738278,57.7621
39,2.385697,57.9287
40,2.3976254,58.0841
41,2.4096136,58.2269
42,2.4216616,58.3553
43,2.4337699,58.4665
44,2.4459388,58.5554
45,2.4581685,58.6112
46,2.4704593,58.6071
47,2.4828116,58.4361
48,2.4861428,58.292
49,2.4952257,58.3177
50,2.4962571,58.416
51,2.5077018,59.0018
52,2.5202403,59.3665
53,2.5328415,59.651
54,2.5455057,59.8968
55,2.5582333,60.1188
56,2.5710244,60.3246
57,2.5838796,60.518
58,2.596799,60.7018
59,2.6097829,60.8776
60,2.6228319,61.0466
61,2.635946,61.2107
62,2.6491257,61.3691
63,2.6623714,61.5223
64,2.6756832,61.671
65,2.6890617,61.8155
66,2.702507,61.9562
67,2.7160195,62.0933
68,2.7295996,62.2273
69,2.7432476,62.3581
70,2.7569638,62.4862
71,2.7707486,62.6115
72,2.7846024,62.7344
73,2.7985254,62.8549
74,2.812518,62.9732
75,2.8265806,63.0894
76,2.8407135,63.2036
77,2.8549171,63.316
78,2.8691917,63.4266
79,2.8835376,63.5356
80,2.8979553,63.6432
81,2.9124451,63.7495
82,2.9270073,63.8548
83,2.9416424,63.9593
84,2.9563506,64.0632
85,2.9711323,64.1671
86,2.985988,64.2727
87,3.0009179,64.3872
88,3.0159225,64.4921
89,3.0310021,64.5929
90,3.0461571,64.6902
91,3.0613879,64.7842
92,3.0766949,64.8752
93,3.0920783,64.9635
94,3.1075387,65.0491
95,3.1230764,65.1324
96,3.1386918,65.2134
97,3.1543853,65.2924
98,3.1701572,65.3695
99,3.186008,65.6549
100,3.201938,65.7286
101,3.2179477,65.7998
102,3.2340374,65.8688
103,3.2502076,65.9355
104,3.2664587,66.0001
105,3.282791,66.2105
106,3.2992049,66.271
107,3.3157009,66.3292
108,3.3322794,66.3852
109,3.3489408,66.4391
110,3.3656856,66.491
111,3.382514,66.541
112,3.3994265,66.5892
113,3.4164237,66.6357
114,3.4335058,66.6806
115,3.4506733,66.7239
116,3.4679267,66.7658
117,3.4852663,66.8062
118,3.5026927,66.8452
119,3.5202061,66.8829
120,3.5378072,66.9193
121,3.5554962,66.9545
122,3.5732737,66.9885
123,3.59114,67.0214
124,3.6090957,67.0532
125,3.6271412,67.0839
126,3.6452769,67.1136
127,3.6635033,67.1423
128,3.6818208,67.17
129,3.7002299,67.1968
130,3.7187311,67.2226
131,3.7373247,67.2475
132,3.7560114,67.2716
133,3.7747914,67.2948
134,3.7936654,67.3171
135,3.8126337,67.3387
136,3.8316969,67.3595
137,3.8508554,67.3796
138,3.8701096,67.3989
139,3.8894602,67.4176
140,3.9089075,67.4355
141,3.928452,67.4528
142,3.9480943,67.4695
143,3.9678347,67.4855
144,3.9876739,67.501
145,4.055024,68.0705
146,4.334821,68.1253
147,4.633924,68.1421
148,4.953664,68.0331
149,5.295467,67.8818
150,5.660855,67.6534
151,6.051453,67.3736
152,6.469004,67.0389
153,6.915365,66.6357
154,7.392525,66.1193
155,7.902609,65.4029
156,8.44789,64.2755
157,9.030794,61.522
158,9.059218,61.2237
159,9.197879,58.3103
160,9.234856,54.8774
161,9.29032,58.3353
162,9.428982,61.3582
163,9.653919,62.8874
164,10.14163,63.2255
165,10.29686,62.0344
166,10.32004,61.4352
167,10.33825,60.3722
168,10.40034,62.1758
169,10.55557,63.8087
170,10.65299,64.2064
171,10.81605,64.1778
172,10.85953,63.4651
173,10.92475,64.525
174,11.03212,65.4276
175,11.08781,65.7342
176,11.79334,67.8323
177,12.60708,69.0599
178,13.47697,69.8582
179,14.40688,70.4053
180,15.40095,70.7705
181,16.46362,71.0101
182,17.59961,71.1611
183,18.81398,71.3132
184,20.11215,71.3517
185,21.49988,71.3908
186,22.98338,71.399
187,24.56923,71.3572
188,26.2645,71.3068
189,28.07676,71.2484
190,30.01405,71.165
191,32.08502,71.0701
192,34.29889,70.9678
193,36.66551,70.8598
194,39.19543,70.7462
195,41.89992,70.6252
196,44.79101,70.4918
197,47.88159,70.3391
198,51.18542,70.1506
199,54.71721,69.8941
200,58.4927,69.4707
201,62.04752,68.4517
202,62.5287,68.0708
203,62.99723,67.3303
204,63.25049,65.9876
205,63.63037,67.3441
206,64.58008,68.5694
207,66.84318,69.508
208,71.45536,70.2671
209,76.38578,70.658
210,81.6564,70.9032
211,87.29069,71.0647
212,93.31374,71.1701
213,99.75239,71.2395
214,106.6353,71.2841
215,113.9931,71.3112
216,121.8587,71.3261
217,130.2669,71.3602
218,139.2553,71.357
219,148.864,71.3479
220,159.1356,71.3349
221,170.1159,71.3193
222,181.8539,71.3022
223,194.4018,71.2843
224,207.8156,71.266
225,222.1548,71.2477
226,237.4835,71.2297
227,253.8699,71.2122
228,271.3869,71.195
229,290.1126,71.1787
230,310.1304,71.1639
231,331.5294,71.1504
232,354.4049,71.1379
233,378.8588,71.1263
234,405.0001,71.1157
235,432.9451,71.1058
