,keV,f1
0,2.0035635,49.3949
1,2.0135813,49.5668
2,2.0236492,49.7109
3,2.0337675,49.8232
4,2.0439363,49.8973
5,2.054156,49.9234
6,2.0644268,49.8846
7,2.0747489,49.7497
8,2.0851227,49.45
9,2.0955483,48.7803
10,2.1052605,46.5603
11,2.106026,45.9823
12,2.1099394,46.61
13,2.1165562,48.8117
14,2.1271389,50.2415
15,2.1377746,51.131
16,2.1484635,51.8076
17,2.1592058,52.3662
18,2.1700018,52.8464
19,2.1808519,53.2687
20,2.1917561,53.6453
21,2.2027149,53.9832
22,2.2137285,54.2854
23,2.2247971,54.5633
24,2.2359211,54.8228
25,2.2471007,55.0631
26,2.2583362,55.2843
27,2.2696279,55.4865
28,2.280976,55.6691
29,2.2923809,55.8303
30,2.3038428,55.9673
31,2.315362,56.0743
32,2.3269388,56.1405
33,2.3385735,56.1421
34,2.3502664,56.0115
35,2.3620177,55.3232
36,2.3625852,55.2231
37,2.3682149,55.2961
38,2.3738278,56.0536
39,2.385697,56.776
40,2.3976254,57.236
41,2.4096136,57.5983
42,2.4216616,57.9062
43,2.4337699,58.1776
44,2.4459388,58.4214
45,2.4581685,58.6426
46,2.4704593,58.8438
47,2.4828116,59.0255
48,2.4952257,59.1919
49,2.5077018,59.3466
50,2.5202403,59.4879
51,2.5328415,59.614
52,2.5455057,59.7214
53,2.5582333,59.8036
54,2.5710244,59.8462
55,2.5838796,59.8088
56,2.5957502,59.5217
57,2.596799,59.4512
58,2.6060497,59.6441
59,2.6097829,59.8917
60,2.6228319,60.3839
61,2.635946,60.7114
62,2.6491257,60.9801
63,2.6623714,61.2172
64,2.6756832,61.4339
65,2.6890617,61.6361
66,2.702507,61.8272
67,2.7160195,62.0092
68,2.7295996,62.1837
69,2.7432476,62.3521
70,2.7569638,62.5148
71,2.7707486,62.6724
72,2.7846024,62.8253
73,2.7985254,62.9741
74,2.812518,63.1191
75,2.8265806,63.2608
76,2.8407135,63.3993
77,2.8549171,63.5351
78,2.8691917,63.6683
79,2.8835376,63.7992
80,2.8979553,63.9282
81,2.9124451,64.0556
82,2.9270073,64.1816
83,2.9416424,64.307
84,2.9563506,64.4323
85,2.9711323,64.5588
86,2.985988,64.6888
87,3.0009179,64.8273
88,3.0159225,64.9674
89,3.0310021,65.0948
90,3.0461571,65.2135
91,3.0613879,65.3258
92,3.0766949,65.433
93,3.0920783,65.5355
94,3.1075387,65.6339
95,3.1230764,65.7287
96,3.1386918,65.8203
97,3.1543853,65.909
98,3.1701572,65.9951
99,3.186008,66.0786
100,3.201938,66.1599
101,3.2179477,66.239
102,3.2340374,66.3161
103,3.2502076,66.3913
104,3.2664587,66.4647
105,3.282791,66.5365
106,3.2992049,66.6066
107,3.3157009,66.6753
108,3.3322794,66.9563
109,3.3489408,67.022
110,3.3656856,67.0856
111,3.382514,67.1473
112,3.3994265,67.207
113,3.4164237,67.2649
114,3.4335058,67.4643
115,3.4506733,67.519
116,3.4679267,67.5714
117,3.4852663,67.6219
118,3.5026927,67.6704
119,3.5202061,67.7171
120,3.5378072,67.7622
121,3.5554962,67.8056
122,3.5732737,67.8474
123,3.59114,67.8877
124,3.6090957,67.9266
125,3.6271412,67.9642
126,3.6452769,68.0004
127,3.6635033,68.0354
128,3.6818208,68.0691
129,3.7002299,68.1017
130,3.7187311,68.1331
131,3.7373247,68.1635
132,3.7560114,68.1928
133,3.7747914,68.2211
134,3.7936654,68.2484
135,3.8126337,68.2748
136,3.8316969,68.3002
137,3.8508554,68.3248
138,3.8701096,68.3485
139,3.8894602,68.3714
140,3.9089075,68.3935
141,3.928452,68.4148
142,3.9480943,68.4354
143,3.9678347,68.4552
144,3.9876739,68.4744
145,4.055024,68.9327
146,4.334821,69.1536
147,4.633924,69.1625
148,4.953664,69.1439
149,5.295467,69.0244
150,5.660855,68.8248
151,6.051453,68.5712
152,6.469004,68.2652
153,6.915365,67.8987
154,7.392525,67.4502
155,7.902609,66.8549
156,8.44789,65.9896
157,9.030794,64.4545
158,9.369486,62.3361
159,9.512897,59.4352
160,9.55114,56.021
161,9.608504,59.4578
162,9.653919,60.9185
163,9.751914,62.4638
164,10.32004,64.5998
165,10.52461,64.3529
166,10.6857,63.1524
167,10.72866,61.4934
168,10.7931,63.2855
169,10.95419,64.899
170,11.03212,65.218
171,11.04529,65.2568
172,11.21435,65.2382
173,11.25943,64.5312
174,11.32705,65.5849
175,11.49611,66.7877
176,11.79334,67.8684
