,keV,f1
0,2.0035635,48.0794
1,2.0135813,48.4337
2,2.0236492,48.7662
3,2.0337675,49.0774
4,2.0439363,49.3674
5,2.054156,49.6364
6,2.0644268,49.884
7,2.0747489,50.1095
8,2.0851227,50.3117
9,2.0955483,50.4889
10,2.106026,50.6384
11,2.1165562,50.7562
12,2.1271389,50.8362
13,2.1377746,50.8686
14,2.1484635,50.8373
15,2.1592058,50.7121
16,2.1700018,50.4274
17,2.1808519,49.7924
18,2.1917561,47.3967
19,2.1963695,47.5241
20,2.2027149,49.6584
21,2.2137285,51.1518
22,2.2247971,52.064
23,2.2359211,52.7545
24,2.2471007,53.3238
25,2.2583362,53.8141
26,2.2696279,54.2458
27,2.280976,54.631
28,2.2923809,54.9771
29,2.3038428,55.2874
30,2.315362,55.5725
31,2.3269388,55.8396
32,2.3385735,56.0885
33,2.3502664,56.3185
34,2.3620177,56.53
35,2.3738278,56.7226
36,2.385697,56.8952
37,2.3976254,57.0457
38,2.4096136,57.1701
39,2.4216616,57.2608
40,2.4337699,57.303
41,2.4459388,57.2607
42,2.4581685,57.0077
43,2.4657375,56.3718
44,2.4704593,56.1112
45,2.4716624,56.4484
46,2.4828116,57.5794
47,2.4952257,58.152
48,2.5077018,58.5644
49,2.5202403,58.9024
50,2.5328415,59.1946
51,2.5455057,59.4544
52,2.5582333,59.6887
53,2.5710244,59.9011
54,2.5838796,60.0933
55,2.596799,60.2657
56,2.6097829,60.4255
57,2.6228319,60.5724
58,2.635946,60.7044
59,2.6491257,60.8183
60,2.6623714,60.9079
61,2.6756832,60.9602
62,2.6890617,60.9393
63,2.702507,60.6585
64,2.7027735,60.6437
65,2.7132264,60.7657
66,2.7160195,60.9564
67,2.7295996,61.4815
68,2.7432476,61.8198
69,2.7569638,62.0959
70,2.7707486,62.3394
71,2.7846024,62.5624
72,2.7985254,62.7708
73,2.812518,62.9684
74,2.8265806,63.1572
75,2.8407135,63.3389
76,2.8549171,63.5148
77,2.8691917,63.6858
78,2.8835376,63.8525
79,2.8979553,64.0155
80,2.9124451,64.1756
81,2.9270073,64.3333
82,2.9416424,64.4893
83,2.9563506,64.6444
84,2.9711323,64.7995
85,2.985988,64.9561
86,3.0009179,65.1254
87,3.0159225,65.2708
88,3.0310021,65.4014
89,3.0461571,65.5258
90,3.0613879,65.6455
91,3.0766949,65.7613
92,3.0920783,65.8737
93,3.1075387,65.9828
94,3.1230764,66.0889
95,3.1386918,66.1921
96,3.1543853,66.2928
97,3.1701572,66.3909
98,3.186008,66.4866
99,3.201938,66.5802
100,3.2179477,66.6716
101,3.2340374,66.7605
102,3.2502076,66.8471
103,3.2664587,66.9315
104,3.282791,67.0138
105,3.2992049,67.0941
106,3.3157009,67.1725
107,3.3322794,67.2491
108,3.3489408,67.324
109,3.3656856,67.3972
110,3.382514,67.4688
111,3.3994265,67.5389
112,3.4164237,67.6075
113,3.4335058,67.6748
114,3.4506733,67.7408
115,3.4679267,67.8056
116,3.4852663,68.0766
117,3.5026927,68.1386
118,3.5202061,68.1987
119,3.5378072,68.2569
120,3.5554962,68.3133
121,3.5732737,68.3681
122,3.59114,68.5614
123,3.6090957,68.6131
124,3.6271412,68.6628
125,3.6452769,68.7107
126,3.6635033,68.7567
127,3.6818208,68.8009
128,3.7002299,68.8436
129,3.7187311,68.8847
130,3.7373247,68.9244
131,3.7560114,68.9626
132,3.7747914,68.9994
133,3.7936654,69.035
134,3.8126337,69.0693
135,3.8316969,69.1024
136,3.8508554,69.1343
137,3.8701096,69.1651
138,3.8894602,69.1948
139,3.9089075,69.2235
140,3.928452,69.2511
141,3.9480943,69.2778
142,3.9678347,69.3036
143,3.9876739,69.3284
144,4.055024,69.7903
145,4.334821,69.9592
146,4.633924,70.1464
147,4.953664,70.1733
148,5.295467,70.0792
149,5.660855,69.9372
150,6.051453,69.7167
151,6.469004,69.4432
152,6.915365,69.114
153,7.392525,68.7163
154,7.902609,68.2155
155,8.44789,67.5254
156,9.030794,66.4617
157,9.653919,63.714
158,9.683478,63.4252
159,9.831694,60.5401
160,9.871219,57.1434
161,9.930505,60.5654
162,10.07872,63.5612
163,10.32004,65.0977
164,10.91338,65.4822
165,11.03212,64.8825
166,11.08042,64.305
167,11.12496,62.7014
168,11.19178,64.4029
169,11.35882,65.931
170,11.44787,66.2523
171,11.62309,66.2303
172,11.66982,65.5306
173,11.73991,66.5825
174,11.79334,67.0814
175,11.91513,67.7871
176,12.60708,69.7701
177,13.47697,71.0512
178,14.40688,71.8606
179,15.40095,72.4049
180,16.46362,72.7659
181,17.59961,73.0023
182,18.81398,73.1523
183,20.11215,73.3039
184,21.49988,73.3452
185,22.98338,73.3888
186,24.56923,73.4025
187,26.2645,73.3713
188,28.07676,73.3311
189,30.01405,73.2561
190,32.08502,73.1674
191,34.29889,73.0703
192,36.66551,72.9671
193,39.19543,72.8589
194,41.89992,72.7455
195,44.79101,72.6247
196,47.88159,72.4914
197,51.18542,72.3388
198,54.71721,72.1497
199,58.4927,71.8904
200,62.5287,71.4546
201,66.06807,70.4835
202,66.84318,69.8055
203,67.07932,69.3757
204,67.34898,68.0495
205,67.75348,69.3893
206,68.76473,70.5993
207,71.45536,71.5926
208,76.38578,72.3062
209,81.6564,72.6821
210,87.29069,72.9153
211,93.31374,73.0695
212,99.75239,73.1707
213,106.6353,73.2373
214,113.9931,73.2801
215,121.8587,73.306
216,130.2669,73.32
217,139.2553,73.3528
218,148.864,73.3493
219,159.1356,73.3401
220,170.1159,73.3273
221,181.8539,73.3121
222,194.4018,73.2954
223,207.8156,73.2778
224,222.1548,73.2599
225,237.4835,73.242
226,253.8699,73.2244
227,271.3869,73.2072
228,290.1126,73.1903
229,310.1304,73.1743
230,331.5294,73.1599
231,354.4049,73.1467
232,378.8588,73.1345
233,405.0001,73.1233
234,432.9451,73.113
