,keV,f1
0,2.0035635,45.3419
1,2.0135813,45.9281
2,2.0236492,46.4771
3,2.0337675,46.9922
4,2.0439363,47.4762
5,2.054156,47.9314
6,2.0644268,48.3597
7,2.0747489,48.7627
8,2.0851227,49.1417
9,2.0955483,49.4977
10,2.106026,49.8314
11,2.1165562,50.1433
12,2.1271389,50.4338
13,2.1377746,50.7027
14,2.1484635,50.9498
15,2.1592058,51.1743
16,2.1700018,51.3749
17,2.1808519,51.5496
18,2.1917561,51.6957
19,2.2027149,51.8086
20,2.2137285,51.8817
21,2.2247971,51.9041
22,2.2359211,51.8573
23,2.2471007,51.7061
24,2.2583362,51.3704
25,2.2696279,50.5932
26,2.2786505,48.3982
27,2.280976,41.3917
28,2.2833493,48.4449
29,2.2923809,51.101
30,2.3038428,52.4327
31,2.315362,53.3017
32,2.3269388,53.9744
33,2.3385735,54.5346
34,2.3502664,55.0199
35,2.3620177,55.4489
36,2.3738278,55.8317
37,2.385697,56.1749
38,2.3976254,56.4813
39,2.4096136,56.7657
40,2.4216616,57.0327
41,2.4337699,57.2825
42,2.4459388,57.5145
43,2.4581685,57.7286
44,2.4704593,57.9246
45,2.4828116,58.1017
46,2.4952257,58.2584
47,2.5077018,58.3915
48,2.5202403,58.4954
49,2.5328415,58.5591
50,2.5455057,58.5592
51,2.5582333,58.4289
52,2.5710244,57.7597
53,2.5716555,57.6629
54,2.5781443,57.7438
55,2.5838796,58.4515
56,2.596799,59.1845
57,2.6097829,59.6478
58,2.6228319,60.0117
59,2.635946,60.3202
60,2.6491257,60.5917
61,2.6623714,60.8352
62,2.6756832,61.0555
63,2.6890617,61.2549
64,2.702507,61.4337
65,2.7160195,61.5963
66,2.7295996,61.747
67,2.7432476,61.8834
68,2.7569638,62.0023
69,2.7707486,62.0982
70,2.7846024,62.159
71,2.7985254,62.1531
72,2.812518,61.9324
73,2.8140455,61.8632
74,2.8251547,61.9917
75,2.8265806,62.0919
76,2.8407135,62.6619
77,2.8549171,63.0133
78,2.8691917,63.298
79,2.8835376,63.549
80,2.8979553,63.7792
81,2.9124451,63.9949
82,2.9270073,64.2001
83,2.9416424,64.3972
84,2.9563506,64.5879
85,2.9711323,64.7745
86,2.985988,64.961
87,3.0009179,65.1549
88,3.0159225,65.3159
89,3.0310021,65.4708
90,3.0461571,65.6203
91,3.0613879,65.7647
92,3.0766949,65.9045
93,3.0920783,66.04
94,3.1075387,66.1714
95,3.1230764,66.299
96,3.1386918,66.4231
97,3.1543853,66.5437
98,3.1701572,66.661
99,3.186008,66.7752
100,3.201938,66.8864
101,3.2179477,66.9948
102,3.2340374,67.1004
103,3.2502076,67.2033
104,3.2664587,67.3037
105,3.282791,67.4017
106,3.2992049,67.4973
107,3.3157009,67.5906
108,3.3322794,67.6819
109,3.3489408,67.7711
110,3.3656856,67.8581
111,3.382514,67.9429
112,3.3994265,68.0255
113,3.4164237,68.1062
114,3.4335058,68.1849
115,3.4506733,68.2617
116,3.4679267,68.3368
117,3.4852663,68.4102
118,3.5026927,68.4819
119,3.5202061,68.5521
120,3.5378072,68.6208
121,3.5554962,68.688
122,3.5732737,68.7538
123,3.59114,68.8184
124,3.6090957,68.8817
125,3.6271412,69.1474
126,3.6452769,69.2084
127,3.6635033,69.2674
128,3.6818208,69.3244
129,3.7002299,69.3798
130,3.7187311,69.4334
131,3.7373247,69.4855
132,3.7560114,69.6769
133,3.7747914,69.7259
134,3.7936654,69.773
135,3.8126337,69.8183
136,3.8316969,69.8618
137,3.8508554,69.9037
138,3.8701096,69.9441
139,3.8894602,69.9829
140,3.9089075,70.0204
141,3.928452,70.0565
142,3.9480943,70.0913
143,3.9678347,70.1248
144,3.9876739,70.1571
145,4.055024,70.6313
146,4.334821,70.8697
147,4.633924,71.1122
148,4.953664,71.1475
149,5.295467,71.145
150,5.660855,71.0404
151,6.051453,70.8546
152,6.469004,70.612
153,6.915365,70.3157
154,7.392525,69.9589
155,7.902609,69.5221
156,8.44789,68.9513
157,9.030794,68.1293
158,9.653919,66.5592
159,10.00266,64.5033
160,10.15577,61.6346
161,10.19659,58.2555
162,10.25783,61.6606
163,10.32004,63.3883
164,10.41094,64.6451
165,11.03212,66.8651
166,11.31312,66.594
167,11.48628,65.4086
168,11.53246,63.8067
169,11.60172,65.5005
170,11.77488,67.0136
171,11.79334,67.0913
172,11.8578,67.302
173,12.0393,67.2878
174,12.0877,66.5917
175,12.1603,67.6405
176,12.3418,68.8404
177,12.60708,69.7737
178,13.47697,71.4875
179,14.40688,72.491
180,15.40095,73.1546
181,16.46362,73.6002
182,17.59961,73.8944
183,18.81398,74.085
184,20.11215,74.2037
185,21.49988,74.3309
186,22.98338,74.3562
187,24.56923,74.4178
188,26.2645,74.3985
189,28.07676,74.3669
190,30.01405,74.297
191,32.08502,74.2121
192,34.29889,74.1179
193,36.66551,74.0173
194,39.19543,73.9116
195,41.89992,73.8011
196,44.79101,73.6848
197,47.88159,73.5584
198,51.18542,73.4168
199,54.71721,73.2486
200,58.4927,73.0295
201,62.5287,72.7015
202,66.84318,72.0009
203,68.1345,71.5004
204,69.17738,70.3996
205,69.45548,69.0815
206,69.87263,70.4134
207,70.9155,71.6162
208,71.45536,71.9078
209,76.38578,73.0529
210,81.6564,73.5353
211,87.29069,73.8178
212,93.31374,74.0042
213,99.75239,74.1261
214,106.6353,74.2067
215,113.9931,74.2592
216,121.8587,74.292
217,130.2669,74.3109
218,139.2553,74.3475
219,148.864,74.3477
220,159.1356,74.341
221,170.1159,74.3299
