,keV,f1
0,2.0004844,39.4024
1,2.0104868,40.6159
2,2.0205393,41.689
3,2.030642,42.6523
4,2.0407952,43.5266
5,2.0509992,44.3268
6,2.0612542,45.0641
7,2.0715604,45.7469
8,2.0819182,46.3818
9,2.0923278,46.9742
10,2.1027895,47.5283
11,2.1133034,48.0476
12,2.1238699,48.5352
13,2.1344893,48.9933
14,2.1451617,49.424
15,2.1558875,49.829
16,2.166667,50.2095
17,2.1775003,50.5667
18,2.1883878,50.9012
19,2.1993297,51.2137
20,2.2103264,51.5044
21,2.221378,51.7732
22,2.2324849,52.0198
23,2.2436473,52.2434
24,2.2548656,52.4425
25,2.2661399,52.6152
26,2.2774706,52.7583
27,2.2888579,52.867
28,2.3003022,52.934
29,2.3118037,52.9471
30,2.3233628,52.8855
31,2.3349796,52.7075
32,2.3466545,52.3133
33,2.3583878,51.329
34,2.3649801,49.4646
35,2.36962,49.5016
36,2.3701797,49.8406
37,2.3820306,52.5668
38,2.3939407,53.7078
39,2.4059104,54.5014
40,2.41794,55.1326
41,2.4300297,55.667
42,2.4421798,56.1356
43,2.4543907,56.5546
44,2.4666627,56.9319
45,2.478996,57.2732
46,2.491391,57.5828
47,2.5038479,57.8726
48,2.5163672,58.1446
49,2.528949,58.3997
50,2.5415938,58.6382
51,2.5543017,58.8592
52,2.5670732,59.0629
53,2.5799086,59.2488
54,2.5928082,59.4157
55,2.6057722,59.5611
56,2.6188011,59.6808
57,2.6318951,59.767
58,2.6450545,59.8035
59,2.6582798,59.7515
60,2.6715712,59.4635
61,2.6780604,58.9517
62,2.6849291,58.9966
63,2.6851398,59.0361
64,2.6983537,60.1491
65,2.7118455,60.6837
66,2.7254047,61.0784
67,2.7390317,61.4054
68,2.7527269,61.6901
69,2.7664905,61.9444
70,2.780323,62.1744
71,2.7942246,62.3834
72,2.8081957,62.5725
73,2.8222367,62.7423
74,2.8363479,62.8995
75,2.8505296,63.043
76,2.8647823,63.1698
77,2.8791062,63.2748
78,2.8935017,63.3474
79,2.9079692,63.3605
80,2.9225091,63.2012
81,2.9258366,63.081
82,2.9371216,63.1838
83,2.9375634,63.2173
84,2.9518072,63.8305
85,2.9665662,64.2004
86,2.9813991,64.4973
87,2.9963061,64.7594
88,3.0112876,64.9992
89,3.026344,65.2189
90,3.0414758,65.4241
91,3.0566831,65.6181
92,3.0719666,65.803
93,3.0873264,65.98
94,3.102763,66.1492
95,3.1182768,66.3114
96,3.1338682,66.4675
97,3.1495376,66.6181
98,3.1652853,66.7636
99,3.1811117,66.9043
100,3.1970172,67.0407
101,3.2130023,67.173
102,3.2290673,67.3014
103,3.2452127,67.4261
104,3.2614387,67.5473
105,3.2777459,67.6653
106,3.2941347,67.78
107,3.3106053,67.8917
108,3.3271584,68.0005
109,3.3437941,68.1065
110,3.3605131,68.2098
111,3.3773157,68.3105
112,3.3942023,68.4087
113,3.4111733,68.5045
114,3.4282291,68.598
115,3.4453703,68.6892
116,3.4625971,68.7783
117,3.4799101,68.8653
118,3.4973097,68.9504
119,3.5147962,69.0332
120,3.5323702,69.1141
121,3.5500321,69.1929
122,3.5677822,69.2699
123,3.5856211,69.3451
124,3.6035492,69.4186
125,3.621567,69.4904
126,3.6396748,69.5606
127,3.6578732,69.6293
128,3.6761626,69.6965
129,3.6945434,69.7623
130,3.7130161,69.8267
131,3.7315812,69.8899
132,3.7502391,69.9518
133,3.7689903,70.217
134,3.7878352,70.2769
135,3.8067744,70.3348
136,3.8258083,70.3908
137,3.8449373,70.4451
138,3.864162,70.4976
139,3.8834828,70.5487
140,3.9029002,70.7387
141,3.9224147,70.787
142,3.9420268,70.8333
143,3.9617369,70.8778
144,3.9815456,70.9206
145,4.0014533,70.9617
146,4.0214606,71.0013
147,4.0415679,71.0393
148,4.0617757,71.076
149,4.0820846,71.1113
150,4.102495,71.1453
151,4.1230075,71.178
152,4.1436226,71.2096
153,4.1643407,71.2399
154,4.1851624,71.2692
155,4.2060882,71.2974
156,4.2271186,71.3246
157,4.2482542,71.3507
158,4.2694955,71.3759
159,4.290843,71.4002
160,4.3122972,71.4236
161,4.3338587,71.4461
162,4.355528,71.4677
163,4.3773056,71.4886
164,4.3991921,71.5087
165,4.4211881,71.528
166,4.443294,71.5466
167,4.4655105,71.5645
168,4.4878381,71.5817
169,4.5102772,71.5983
170,4.5328286,71.6142
171,4.5554928,71.6295
172,4.5782702,71.6443
173,4.6011616,71.6585
174,4.6241674,71.6722
175,4.6472882,71.6854
176,4.6705247,71.6981
177,4.6938773,71.7103
178,4.7173467,71.7221
179,4.7409334,71.8385
180,4.7646381,71.8502
181,4.7884613,71.8611
182,4.8124036,71.871
183,4.8364656,71.8802
184,4.8606479,71.8887
185,4.8849512,71.8964
186,4.9093759,71.9035
187,4.9339228,71.9098
188,4.9585924,71.9156
189,4.9833854,71.9207
190,5.0083023,71.9251
191,5.0333438,71.929
192,5.0585105,71.9324
193,5.0838031,71.9352
194,5.1092221,71.9375
195,5.1347682,71.9392
196,5.1604421,71.9406
197,5.1862443,71.9414
198,5.2121755,71.9417
199,5.2382364,71.9416
200,5.2644276,71.9411
201,5.2907497,71.9401
202,5.3172034,71.9388
203,5.3437895,71.937
204,5.3705084,71.9807
205,5.3973609,71.9786
206,5.4243477,71.9759
207,5.4514695,71.9727
208,5.4787268,71.9689
209,5.5061205,71.9646
210,5.5336511,71.9598
211,5.5613193,71.9544
212,5.5891259,71.9487
213,5.6170716,71.9425
214,5.6451569,71.9358
215,5.6733827,71.9287
216,5.7017496,71.9213
217,5.7302584,71.9134
218,5.7589096,71.9051
219,5.7877042,71.8965
220,5.8166427,71.8875
221,5.8457259,71.8782
222,5.8749546,71.8871
223,5.9043293,71.8773
224,5.933851,71.867
225,5.9635202,71.8563
226,5.9933378,71.8452
227,6.0233045,71.8337
228,6.053421,71.8219
229,6.0836882,71.8096
230,6.1141066,71.7971
231,6.1446771,71.7841
232,6.1754005,71.7708
233,6.2062775,71.7572
234,6.2373089,71.7432
235,6.2684954,71.7289
236,6.2998379,71.7143
237,6.3313371,71.6994
238,6.3629938,71.6841
239,6.3948088,71.6685
240,6.4267828,71.6526
241,6.4589167,71.6363
242,6.4912113,71.6198
243,6.5236674,71.6029
244,6.5562857,71.5857
245,6.5890671,71.5683
246,6.6220125,71.5505
247,6.6551225,71.5324
248,6.6883981,71.5139
249,6.7218401,71.4952
250,6.7554493,71.4762
251,6.7892266,71.4568
252,6.8231727,71.4371
253,6.8572886,71.4172
254,6.891575,71.3969
255,6.9260329,71.3762
256,6.9606631,71.3553
257,6.9954664,71.334
258,7.0304437,71.3124
259,7.0655959,71.2905
260,7.1009239,71.2683
261,7.1364285,71.2457
262,7.1721107,71.2227
263,7.2079712,71.1994
264,7.2440111,71.1758
265,7.2802311,71.1518
266,7.3166323,71.1275
267,7.3532155,71.1027
268,7.3899815,71.0776
269,7.4269314,71.0521
270,7.4640661,71.0262
271,7.5013864,71.0
272,7.5388934,70.9733
273,7.5765878,70.9462
274,7.6144708,70.9186
275,7.6525431,70.8907
276,7.6908058,70.8622
277,7.7292599,70.8334
278,7.7679062,70.804
279,7.8067457,70.7742
280,7.8457794,70.7439
281,7.8850083,70.713
282,7.9244334,70.6817
283,7.9640555,70.6498
284,8.0038758,70.6173
285,8.0438952,70.5843
286,8.0841147,70.5507
287,8.1245352,70.5164
288,8.1651579,70.4816
289,8.2059837,70.446
290,8.2470136,70.4097
291,8.2882487,70.3726
292,8.3296899,70.3347
293,8.3713384,70.2959
294,8.4131951,70.2562
295,8.455261,70.2157
296,8.4975373,70.1741
297,8.540025,70.1315
298,9.030794,69.6381
299,9.653919,68.5353
300,10.32004,65.6674
301,10.32459,65.6244
302,10.48262,62.8399
303,10.52476,59.587
304,10.58798,62.814
305,10.74601,65.6471
306,11.03212,67.2448
307,11.71953,67.6542
308,11.79334,67.3841
309,11.89891,66.4793
310,11.94674,64.8867
311,12.01849,66.573
312,12.19787,68.0807
313,12.27617,68.3474
314,12.46407,68.3508
315,12.51417,67.6623
316,12.58933,68.7093
317,12.60708,68.8899
318,12.77723,69.911
319,13.47697,71.8024
320,14.40688,73.0764
321,15.40095,73.8716
322,16.46362,74.4047
323,17.59961,74.7592
324,18.81398,74.9938
325,20.11215,75.1456
326,21.49988,75.3012
327,22.98338,75.3469
328,24.56923,75.3954
329,26.2645,75.4193
330,28.07676,75.3939
331,30.01405,75.3316
332,32.08502,75.252
333,34.29889,75.1615
334,36.66551,75.0638
335,39.19543,74.9608
336,41.89992,74.8531
337,44.79101,74.7403
338,47.88159,74.6201
339,51.18542,74.4871
340,54.71721,74.3343
341,58.4927,74.1439
342,62.5287,73.8796
343,66.84318,73.4235
344,70.24287,72.5172
345,71.31802,71.4235
346,71.45536,71.0332
347,71.60472,70.1142
348,72.03478,71.4371
349,73.10993,72.632
350,76.38578,73.6992
351,81.6564,74.3552
352,87.29069,74.7028
353,93.31374,74.925
354,99.75239,75.0733
355,106.6353,75.1704
356,113.9931,75.2342
357,121.8587,75.2751
358,130.2669,75.2997
359,139.2553,75.3128
360,148.864,75.3443
361,159.1356,75.3404
362,170.1159,75.3313
363,181.8539,75.3187
364,194.4018,75.3038
365,207.8156,75.2875
366,222.1548,75.2704
367,237.4835,75.253
368,253.8699,75.2356
369,271.3869,75.2184
370,290.1126,75.2015
371,310.1304,75.1849
372,331.5294,75.1693
