,keV,f1
0,2.0004844,31.3542
1,2.0104868,31.2867
2,2.0205393,29.9555
3,2.0299512,21.723
4,2.030642,15.5705
5,2.031649,21.7027
6,2.0407952,31.685
7,2.0509992,35.1111
8,2.0612542,37.3616
9,2.0715604,39.0993
10,2.0819182,40.5368
11,2.0923278,41.7719
12,2.1027895,42.859
13,2.1133034,43.8315
14,2.1238699,44.7118
15,2.1344893,45.516
16,2.1451617,46.2557
17,2.1558875,46.9397
18,2.166667,47.5751
19,2.1775003,48.1673
20,2.1883878,48.7207
21,2.1993297,49.239
22,2.2103264,49.7251
23,2.221378,50.1815
24,2.2324849,50.6101
25,2.2436473,51.0126
26,2.2548656,51.3903
27,2.2661399,51.7444
28,2.2774706,52.0754
29,2.2888579,52.384
30,2.3003022,52.6702
31,2.3118037,52.934
32,2.3233628,53.1748
33,2.3349796,53.3915
34,2.3466545,53.5826
35,2.3583878,53.7454
36,2.3701797,53.8762
37,2.3820306,53.9689
38,2.3939407,54.0142
39,2.4059104,53.9961
40,2.41794,53.8854
41,2.4300297,53.6185
42,2.4421798,53.0125
43,2.4543907,50.7883
44,2.454905,50.4981
45,2.4594951,50.5312
46,2.4666627,52.8129
47,2.478996,54.3202
48,2.491391,55.2373
49,2.5038479,55.9333
50,2.5163672,56.5092
51,2.528949,57.0078
52,2.5415938,57.4511
53,2.5543017,57.8515
54,2.5670732,58.2143
55,2.5799086,58.5432
56,2.5928082,58.8474
57,2.6057722,59.1334
58,2.6188011,59.4021
59,2.6318951,59.6547
60,2.6450545,59.8917
61,2.6582798,60.1122
62,2.6715712,60.3159
63,2.6849291,60.5026
64,2.6983537,60.6709
65,2.7118455,60.8188
66,2.7254047,60.942
67,2.7390317,61.0334
68,2.7527269,61.0781
69,2.7664905,61.0415
70,2.780323,60.801
71,2.7883189,60.2693
72,2.7942246,59.9526
73,2.7960812,60.3609
74,2.8081957,61.3624
75,2.8222367,61.9197
76,2.8363479,62.3245
77,2.8505296,62.6585
78,2.8647823,62.9495
79,2.8791062,63.21
80,2.8935017,63.4467
81,2.9079692,63.663
82,2.9225091,63.8605
83,2.9371216,64.0395
84,2.9518072,64.2081
85,2.9665662,64.3669
86,2.9813991,64.5145
87,2.9963061,64.6501
88,3.0112876,64.731
89,3.026344,64.73
90,3.0414758,64.499
91,3.0422811,64.465
92,3.054719,64.5986
93,3.0566831,64.7181
94,3.0719666,65.2592
95,3.0873264,65.5995
96,3.102763,65.8751
97,3.1182768,66.1167
98,3.1338682,66.3365
99,3.1495376,66.5407
100,3.1652853,66.7329
101,3.1811117,66.9155
102,3.1970172,67.0899
103,3.2130023,67.2567
104,3.2290673,67.4166
105,3.2452127,67.5705
106,3.2614387,67.7188
107,3.2777459,67.862
108,3.2941347,68.0005
109,3.3106053,68.1346
110,3.3271584,68.2647
111,3.3437941,68.3908
112,3.3605131,68.5133
