,keV,f1
0,2.0004844,36.0335
1,2.0104868,34.2637
2,2.0205393,31.8011
3,2.030642,27.6452
4,2.0399144,10.7769
5,2.0407952,9.32243
6,2.0408856,10.4675
7,2.0509992,27.3377
8,2.0612542,30.6781
9,2.0715604,32.3347
10,2.0819182,33.1343
11,2.0923278,33.2153
12,2.1027895,32.2773
13,2.1133034,27.5966
14,2.1153256,23.0704
15,2.1168746,23.0261
16,2.1238699,32.1225
17,2.1344893,36.1133
18,2.1451617,38.5261
19,2.1558875,40.3384
20,2.166667,41.8173
21,2.1775003,43.0778
22,2.1883878,44.1813
23,2.1993297,45.1648
24,2.2103264,46.0525
25,2.221378,46.8616
26,2.2324849,47.6044
27,2.2436473,48.2902
28,2.2548656,48.9263
29,2.2661399,49.5183
30,2.2774706,50.071
31,2.2888579,50.588
32,2.3003022,51.0723
33,2.3118037,51.5265
34,2.3233628,51.9525
35,2.3349796,52.352
36,2.3466545,52.7262
37,2.3583878,53.0763
38,2.3701797,53.4029
39,2.3820306,53.7065
40,2.3939407,53.987
41,2.4059104,54.2442
42,2.41794,54.4774
43,2.4300297,54.6854
44,2.4421798,54.8659
45,2.4543907,55.016
46,2.4666627,55.1307
47,2.478996,55.2025
48,2.491391,55.2192
49,2.5038479,55.159
50,2.5163672,54.979
51,2.528949,54.5741
52,2.5415938,53.5405
53,2.5483176,51.6624
54,2.5530823,51.6985
55,2.5543017,52.3543
56,2.5670732,54.9291
57,2.5799086,56.0628
58,2.5928082,56.8583
59,2.6057722,57.4933
60,2.6188011,58.0317
61,2.6318951,58.5039
62,2.6450545,58.9267
63,2.6582798,59.3094
64,2.6715712,59.6553
65,2.6849291,59.9687
66,2.6983537,60.2631
67,2.7118455,60.5404
68,2.7254047,60.8014
69,2.7390317,61.0473
70,2.7527269,61.2786
71,2.7664905,61.4945
72,2.780323,61.6946
73,2.7942246,61.8786
74,2.8081957,62.0453
75,2.8222367,62.1927
76,2.8363479,62.3171
77,2.8505296,62.4121
78,2.8647823,62.465
79,2.8791062,62.4469
80,2.8935017,62.267
81,2.9045696,61.6647
82,2.9079692,60.6972
83,2.9128303,61.7623
84,2.9225091,62.6103
85,2.9371216,63.2269
86,2.9518072,63.6512
87,2.9665662,63.9929
88,2.9813991,64.2848
89,2.9963061,64.5374
90,3.0112876,64.7643
91,3.026344,64.973
92,3.0414758,65.1638
93,3.0566831,65.3382
94,3.0719666,65.4971
95,3.0873264,65.6398
96,3.102763,65.7637
97,3.1182768,65.8635
98,3.1338682,65.928
99,3.1495376,65.9274
100,3.1652853,65.7257
101,3.1671623,65.6566
102,3.1802379,65.7879
103,3.1811117,65.8414
104,3.1970172,66.4097
105,3.2130023,66.7523
106,3.2290673,67.027
107,3.2452127,67.267
108,3.2614387,67.485
109,3.2777459,67.6875
110,3.2941347,67.878
111,3.3106053,68.0589
112,3.3271584,68.2316
113,3.3437941,68.3965
114,3.3605131,68.5549
115,3.3773157,68.7073
116,3.3942023,68.8543
117,3.4111733,68.9964
118,3.4282291,69.1339
119,3.4453703,69.267
120,3.4625971,69.3961
121,3.4799101,69.5213
122,3.4973097,69.6428
123,3.5147962,69.7608
124,3.5323702,69.8754
125,3.5500321,69.9869
126,3.5677822,70.0952
127,3.5856211,70.2005
128,3.6035492,70.3028
129,3.621567,70.4024
130,3.6396748,70.4993
131,3.6578732,70.5935
132,3.6761626,70.6851
133,3.6945434,70.7742
134,3.7130161,70.8609
135,3.7315812,70.9451
136,3.7502391,71.027
137,3.7689903,71.1066
138,3.7878352,71.184
139,3.8067744,71.2596
140,3.8258083,71.3337
141,3.8449373,71.4062
142,3.864162,71.4771
143,3.8834828,71.5466
144,3.9029002,71.6147
145,3.9224147,71.6813
146,3.9420268,71.7466
147,3.9617369,71.8106
148,3.9815456,71.8734
149,4.0014533,71.9351
150,4.0214606,71.9956
151,4.0415679,72.055
152,4.0617757,72.1135
153,4.0820846,72.3705
154,4.102495,72.4277
155,4.1230075,72.483
156,4.1436226,72.5366
157,4.1643407,72.5884
158,4.1851624,72.6385
159,4.2060882,72.6871
160,4.2271186,72.7343
161,4.2482542,72.9168
162,4.2694955,72.9612
163,4.290843,73.0036
164,4.3122972,73.0444
165,4.3338587,73.0836
166,4.355528,73.1212
167,4.3773056,73.1574
168,4.3991921,73.1921
169,4.4211881,73.2255
170,4.443294,73.2577
171,4.4655105,73.2886
172,4.4878381,73.3184
173,4.5102772,73.347
174,4.5328286,73.3745
175,4.5554928,73.401
176,4.5782702,73.4265
177,4.6011616,73.451
178,4.6241674,73.4745
179,4.6472882,73.4972
180,4.6705247,73.519
181,4.6938773,73.5399
182,4.7173467,73.56
183,4.7409334,73.5794
