,keV,f1
0,2.0004844,44.2939
1,2.0104868,43.7457
2,2.0205393,43.1428
3,2.030642,42.4742
4,2.0407952,41.7247
5,2.0509992,40.8734
6,2.0612542,39.8895
7,2.0715604,38.7253
8,2.0819182,37.2998
9,2.0923278,35.4583
10,2.1027895,32.8376
11,2.1133034,28.1254
12,2.1210653,12.8681
13,2.1221346,12.5624
14,2.1238699,20.5054
15,2.1344893,29.7864
16,2.1451617,32.6834
17,2.1558875,34.1696
18,2.166667,34.877
19,2.1775003,34.8926
20,2.1883878,33.888
21,2.1993297,28.8564
22,2.2011954,24.303
23,2.2026046,24.2383
24,2.2103264,33.9315
25,2.221378,37.7893
26,2.2324849,40.1466
27,2.2436473,41.9226
28,2.2548656,43.3738
29,2.2661399,44.6117
30,2.2774706,45.6958
31,2.2888579,46.6622
32,2.3003022,47.5347
33,2.3118037,48.3299
34,2.3233628,49.0598
35,2.3349796,49.7337
36,2.3466545,50.3585
37,2.3583878,50.9399
38,2.3701797,51.4823
39,2.3820306,51.9894
40,2.3939407,52.4641
41,2.4059104,52.9089
42,2.41794,53.3257
43,2.4300297,53.716
44,2.4421798,54.0812
45,2.4543907,54.4221
46,2.4666627,54.7392
47,2.478996,55.0328
48,2.491391,55.3029
49,2.5038479,55.5489
50,2.5163672,55.7698
51,2.528949,55.9639
52,2.5415938,56.1284
53,2.5543017,56.2593
54,2.5670732,56.3501
55,2.5799086,56.3905
56,2.5928082,56.3628
57,2.6057722,56.2333
58,2.6188011,55.9261
59,2.6318951,55.2002
60,2.6429266,52.9149
61,2.6450545,50.0359
62,2.6478735,52.9484
63,2.6582798,55.6183
64,2.6715712,56.9294
65,2.6849291,57.7856
66,2.6983537,58.452
67,2.7118455,59.0107
68,2.7254047,59.4983
69,2.7390317,59.9343
70,2.7527269,60.3302
71,2.7664905,60.6921
72,2.780323,61.0216
73,2.7942246,61.329
74,2.8081957,61.6185
75,2.8222367,61.8915
76,2.8363479,62.1491
77,2.8505296,62.3923
78,2.8647823,62.6218
79,2.8791062,62.8365
80,2.8935017,63.0361
81,2.9079692,63.2201
82,2.9225091,63.3874
83,2.9371216,63.5359
84,2.9518072,63.662
85,2.9665662,63.7592
86,2.9813991,63.815
87,2.9963061,63.8003
88,3.0112876,63.6373
89,3.0221418,63.0881
90,3.026344,61.266
91,3.0308581,63.1851
92,3.0414758,64.0249
93,3.0566831,64.6111
94,3.0719666,65.0211
95,3.0873264,65.354
96,3.102763,65.6406
97,3.1182768,65.8946
98,3.1338682,66.1231
99,3.1495376,66.33
100,3.1652853,66.517
101,3.1811117,66.6847
102,3.1970172,66.8356
103,3.2130023,66.9692
104,3.2290673,67.0817
105,3.2452127,67.1661
106,3.2614387,67.206
107,3.2777459,67.1514
108,3.2891773,66.9216
109,3.2941347,66.5163
110,3.3028227,67.0492
111,3.3106053,67.3904
112,3.3271584,67.8095
113,3.3437941,68.108
114,3.3605131,68.3571
115,3.3773157,68.578
116,3.3942023,68.7799
117,3.4111733,68.9679
118,3.4282291,69.1449
119,3.4453703,69.313
120,3.4625971,69.4729
121,3.4799101,69.6255
122,3.4973097,69.7719
123,3.5147962,69.9126
124,3.5323702,70.0482
125,3.5500321,70.1792
126,3.5677822,70.3058
127,3.5856211,70.4284
128,3.6035492,70.5473
129,3.621567,70.6627
130,3.6396748,70.7749
131,3.6578732,70.8839
132,3.6761626,70.99
133,3.6945434,71.0934
134,3.7130161,71.1941
135,3.7315812,71.2923
136,3.7502391,71.3882
137,3.7689903,71.4818
138,3.7878352,71.5732
139,3.8067744,71.6626
140,3.8258083,71.7501
141,3.8449373,71.8357
142,3.864162,71.9197
143,3.8834828,72.002
144,3.9029002,72.0829
145,3.9224147,72.1624
146,3.9420268,72.2406
147,3.9617369,72.3169
148,3.9815456,72.3912
149,4.0014533,72.4637
150,4.0214606,72.5346
151,4.0415679,72.6038
152,4.0617757,72.6716
153,4.0820846,72.7379
154,4.102495,72.8028
155,4.1230075,72.8664
156,4.1436226,72.9288
157,4.1643407,72.9901
158,4.1851624,73.0502
159,4.2060882,73.1093
160,4.2271186,73.1674
161,4.2482542,73.4221
162,4.2694955,73.4787
163,4.290843,73.5336
164,4.3122972,73.5866
165,4.3338587,73.6378
166,4.355528,73.6875
167,4.3773056,73.7357
168,4.3991921,73.7825
169,4.4211881,73.9631
170,4.443294,74.0071
171,4.4655105,74.0492
172,4.4878381,74.0897
173,4.5102772,74.1286
174,4.5328286,74.166
175,4.5554928,74.2019
176,4.5782702,74.2364
177,4.6011616,74.2697
178,4.6241674,74.3016
179,4.6472882,74.3324
180,4.6705247,74.362
181,4.6938773,74.3904
182,4.7173467,74.4178
183,4.7409334,74.4441
184,4.7646381,74.4694
185,4.7884613,74.4938
186,4.8124036,74.5172
187,4.8364656,74.5397
188,4.8606479,74.5613
189,4.8849512,74.5821
190,4.9093759,74.602
191,4.9339228,74.6212
192,4.9585924,74.6396
193,4.9833854,74.6572
194,5.0083023,74.6741
195,5.0333438,74.6904
196,5.0585105,74.7059
197,5.0838031,74.7208
198,5.1092221,74.7351
199,5.1347682,74.7488
200,5.1604421,74.7619
201,5.1862443,74.7745
202,5.2121755,74.7865
203,5.2382364,74.7981
204,5.2644276,74.8091
205,5.2907497,74.8198
206,5.3172034,74.9308
207,5.3437895,74.9408
208,5.3705084,74.9499
209,5.3973609,74.9583
210,5.4243477,74.9659
211,5.4514695,74.9728
212,5.4787268,74.979
213,5.5061205,74.9845
214,5.5336511,74.9894
215,5.5613193,74.9937
216,5.5891259,74.9974
217,5.6170716,75.0005
218,5.6451569,75.0031
219,5.6733827,75.0052
220,5.7017496,75.0067
221,5.7302584,75.0078
222,5.7589096,75.0084
223,5.7877042,75.0085
224,5.8166427,75.0082
225,5.8457259,75.0075
226,5.8749546,75.0063
227,5.9043293,75.0048
228,5.933851,75.0028
229,5.9635202,75.0005
230,5.9933378,74.9977
231,6.0233045,74.9946
232,6.053421,75.0335
233,6.0836882,75.0299
234,6.1141066,75.0259
235,6.1446771,75.0213
236,6.1754005,75.0163
237,6.2062775,75.0108
238,6.2373089,75.0049
239,6.2684954,74.9985
240,6.2998379,74.9918
241,6.3313371,74.9845
242,6.3629938,74.9769
243,6.3948088,74.9689
244,6.4267828,74.9605
245,6.4589167,74.9517
246,6.4912113,74.9426
247,6.5236674,74.933
248,6.5562857,74.9232
249,6.5890671,74.913
250,6.6220125,74.9187
251,6.6551225,74.9079
252,6.6883981,74.8967
253,6.7218401,74.8852
254,6.7554493,74.8733
255,6.7892266,74.861
256,6.8231727,74.8484
257,6.8572886,74.8355
258,6.891575,74.8222
259,6.9260329,74.8085
260,6.9606631,74.7946
261,6.9954664,74.7803
262,7.0304437,74.7657
263,7.0655959,74.7507
264,7.1009239,74.7355
265,7.1364285,74.7199
266,7.1721107,74.7041
267,7.2079712,74.6879
268,7.2440111,74.6714
269,7.2802311,74.6546
270,7.3166323,74.6376
