,keV,f1
0,2.0004844,48.6861
1,2.0104868,48.377
2,2.0205393,48.0488
3,2.030642,47.6993
4,2.0407952,47.3259
5,2.0509992,46.9257
6,2.0612542,46.495
7,2.0715604,46.0294
8,2.0819182,45.5233
9,2.0923278,44.97
10,2.1027895,44.3604
11,2.1133034,43.6829
12,2.1238699,42.9216
13,2.1344893,42.0539
14,2.1451617,41.0468
15,2.1558875,39.8476
16,2.166667,38.3658
17,2.1775003,36.4219
18,2.1883878,33.5677
19,2.1993297,27.8928
20,2.2051132,14.718
21,2.2062866,14.4147
22,2.2103264,25.6735
23,2.221378,32.0631
24,2.2324849,34.5666
25,2.2436473,35.8899
26,2.2548656,36.5015
27,2.2661399,36.4465
28,2.2774706,35.3612
29,2.2888579,29.7952
30,2.2904585,25.3813
31,2.2917415,25.2987
32,2.3003022,35.6491
33,2.3118037,39.3788
34,2.3233628,41.6868
35,2.3349796,43.4321
36,2.3466545,44.8607
37,2.3583878,46.0806
38,2.3701797,47.1495
39,2.3820306,48.1028
40,2.3939407,48.9635
41,2.4059104,49.748
42,2.41794,50.468
43,2.4300297,51.1326
44,2.4421798,51.7487
45,2.4543907,52.3217
46,2.4666627,52.8561
47,2.478996,53.3553
48,2.491391,53.8222
49,2.5038479,54.2592
50,2.5163672,54.6683
51,2.528949,55.0508
52,2.5415938,55.4079
53,2.5543017,55.7405
54,2.5670732,56.049
55,2.5799086,56.3336
56,2.5928082,56.5938
57,2.6057722,56.829
58,2.6188011,57.0376
59,2.6318951,57.2174
60,2.6450545,57.365
61,2.6582798,57.4747
62,2.6715712,57.538
63,2.6849291,57.5399
64,2.6983537,57.4535
65,2.7118455,57.221
66,2.7254047,56.6801
67,2.7390317,54.8263
68,2.7404353,54.232
69,2.7455647,54.2566
70,2.7527269,56.2907
71,2.7664905,57.7964
72,2.780323,58.6963
73,2.7942246,59.3792
74,2.8081957,59.9469
75,2.8222367,60.4418
76,2.8363479,60.8855
77,2.8505296,61.2908
78,2.8647823,61.6661
79,2.8791062,62.0157
80,2.8935017,62.3422
81,2.9079692,62.6487
82,2.9225091,62.9375
83,2.9371216,63.2102
84,2.9518072,63.4683
85,2.9665662,63.7128
86,2.9813991,63.9446
87,2.9963061,64.163
88,3.0112876,64.3822
89,3.026344,64.5811
90,3.0414758,64.7577
91,3.0566831,64.9116
92,3.0719666,65.0396
93,3.0873264,65.1351
94,3.102763,65.1847
95,3.1182768,65.1563
96,3.1338682,64.9396
97,3.1431727,64.4455
98,3.1495376,63.9561
99,3.1524272,64.535
100,3.1652853,65.4239
101,3.1811117,65.9569
102,3.1970172,66.3394
103,3.2130023,66.6525
104,3.2290673,66.9232
105,3.2452127,67.1635
106,3.2614387,67.3798
107,3.2777459,67.5756
108,3.2941347,67.7524
109,3.3106053,67.9105
110,3.3271584,68.0521
111,3.3437941,68.1757
112,3.3605131,68.2767
113,3.3773157,68.3466
114,3.3942023,68.3634
115,3.4111733,68.248
116,3.417742,68.0844
117,3.4282291,67.9097
118,3.4320581,68.2092
119,3.4453703,68.6908
120,3.4625971,69.05
121,3.4799101,69.3243
122,3.4973097,69.5588
123,3.5147962,69.7692
124,3.5323702,69.963
125,3.5500321,70.1445
126,3.5677822,70.3163
127,3.5856211,70.4792
128,3.6035492,70.6344
129,3.621567,70.7828
130,3.6396748,70.9251
131,3.6578732,71.0619
132,3.6761626,71.1939
