,keV,f1
0,2.080733,7.23046
1,2.224304,7.21328
2,2.377781,7.19688
3,2.541848,7.18139
4,2.717235,7.16696
5,2.904724,7.15398
6,3.10515,7.14238
7,3.319406,7.13003
8,3.548445,7.11843
9,3.793288,7.10763
10,4.055024,7.09763
11,4.334821,7.08842
12,4.633924,7.07996
13,4.953664,7.07222
14,5.295467,7.06516
15,5.660855,7.05874
16,6.051453,7.0529
17,6.469004,7.04762
18,6.915365,7.04284
19,7.392525,7.03853
20,7.902609,7.03465
21,8.44789,7.03113
22,9.030794,7.02795
23,9.653919,7.02503
24,10.32004,7.02238
25,11.03212,7.02
26,11.79334,7.01785
27,12.60708,7.01591
28,13.47697,7.01418
29,14.40688,7.01263
30,15.40095,7.01123
31,16.46362,7.00999
32,17.59961,7.00888
33,18.81398,7.00789
34,20.11215,7.00701
35,21.49988,7.00622
36,22.98338,7.00552
37,24.56923,7.00489
38,26.2645,7.00435
39,28.07676,7.00387
40,30.01405,7.00343
41,32.08502,7.00304
42,34.29889,7.00269
43,36.66551,7.00238
44,39.19543,7.0021
45,41.89992,7.00186
46,44.79101,7.00164
47,47.88159,7.00145
48,51.18542,7.00128
49,54.71721,7.00113
50,58.4927,7.001
51,62.5287,7.00088
52,66.84318,7.00078
53,71.45536,7.00068
54,76.38578,7.0006
55,81.6564,7.00053
56,87.29069,7.00047
57,93.31374,7.00041
58,99.75239,7.00036
59,106.6353,7.00032
60,113.9931,7.00028
61,121.8587,7.00025
62,130.2669,7.00022
63,139.2553,7.00019
64,148.864,7.00017
65,159.1356,7.00015
66,170.1159,7.00013
67,181.8539,7.00012
68,194.4018,7.0001
69,207.8156,7.00009
70,222.1548,7.00008
71,237.4835,7.00007
72,253.8699,7.00006
73,271.3869,7.00005
74,290.1126,7.00005
75,310.1304,7.00004
76,331.5294,7.00004
77,354.4049,7.00003
78,378.8588,7.00003
79,405.0001,7.00002
80,432.9451,7.00002
