,keV,f1
0,2.0004844,51.9057
1,2.0104868,51.7041
2,2.0205393,51.4927
3,2.030642,51.2709
4,2.0407952,51.0388
5,2.0509992,50.7935
6,2.0612542,50.535
7,2.0715604,50.2621
8,2.0819182,49.9733
9,2.0923278,49.6672
10,2.1027895,49.3418
11,2.1133034,48.995
12,2.1238699,48.6243
13,2.1344893,48.2267
14,2.1451617,47.7985
15,2.1558875,47.3353
16,2.166667,46.8315
17,2.1775003,46.2802
18,2.1883878,45.6724
19,2.1993297,44.9963
20,2.2103264,44.2358
21,2.221378,43.3681
22,2.2324849,42.3593
23,2.2436473,41.1558
24,2.2548656,39.6644
25,2.2661399,37.6989
26,2.2774706,34.7858
27,2.2888579,28.8037
28,2.2942849,16.2146
29,2.295515,15.9129
30,2.3003022,27.7369
31,2.3118037,33.6852
32,2.3233628,36.1133
33,2.3349796,37.4118
34,2.3466545,38.0194
35,2.3583878,37.9796
36,2.3701797,36.9517
37,2.3820306,32.0152
38,2.3842276,26.9354
39,2.3855726,26.8547
40,2.3939407,36.8932
41,2.4059104,40.7295
42,2.41794,43.0624
43,2.4300297,44.8169
44,2.4421798,46.2493
45,2.4543907,47.4704
46,2.4666627,48.5392
47,2.478996,49.4914
48,2.491391,50.3506
49,2.5038479,51.1332
50,2.5163672,51.851
51,2.528949,52.5131
52,2.5415938,53.1265
53,2.5543017,53.6965
54,2.5670732,54.2277
55,2.5799086,54.7234
56,2.5928082,55.1867
57,2.6057722,55.6197
58,2.6188011,56.0245
59,2.6318951,56.4023
60,2.6450545,56.7544
61,2.6582798,57.0814
62,2.6715712,57.3837
63,2.6849291,57.6613
64,2.6983537,57.9137
65,2.7118455,58.1399
66,2.7254047,58.338
67,2.7390317,58.5052
68,2.7527269,58.6369
69,2.7664905,58.7262
70,2.780323,58.7616
71,2.7942246,58.7228
72,2.8081957,58.57
73,2.8222367,58.2069
74,2.8363479,57.2756
75,2.8443469,55.4687
76,2.8498532,55.5003
77,2.8505296,55.8297
78,2.8647823,58.4538
79,2.8791062,59.5579
80,2.8935017,60.3325
81,2.9079692,60.9542
82,2.9225091,61.4855
83,2.9371216,61.9557
84,2.9518072,62.3814
85,2.9665662,62.7725
86,2.9813991,63.1359
87,2.9963061,63.4754
88,3.0112876,63.8311
89,3.026344,64.1655
90,3.0414758,64.4728
91,3.0566831,64.7575
92,3.0719666,65.0223
93,3.0873264,65.2691
94,3.102763,65.499
95,3.1182768,65.7117
96,3.1338682,65.9074
97,3.1495376,66.0857
98,3.1652853,66.2456
99,3.1811117,66.3851
100,3.1970172,66.5007
101,3.2130023,66.586
102,3.2290673,66.6285
103,3.2452127,66.6002
104,3.2614387,66.4119
105,3.2736807,65.8359
106,3.2777459,64.8291
107,3.2833195,65.9237
108,3.2941347,66.7125
109,3.3106053,67.2914
110,3.3271584,67.6869
111,3.3437941,68.0037
112,3.3605131,68.2737
113,3.3773157,68.511
114,3.3942023,68.7226
115,3.4111733,68.9123
116,3.4282291,69.0819
117,3.4453703,69.2312
118,3.4625971,69.3634
119,3.4799101,69.4775
120,3.4973097,69.5685
121,3.5147962,69.6263
122,3.5323702,69.6255
123,3.5500321,69.4622
124,3.554085,69.3485
125,3.5677822,69.3913
126,3.5691149,69.4698
127,3.5856211,70.0065
128,3.6035492,70.3407
129,3.621567,70.6015
130,3.6396748,70.826
131,3.6578732,71.028
132,3.6761626,71.2143
133,3.6945434,71.3889
134,3.7130161,71.5539
135,3.7315812,71.7099
136,3.7502391,71.8583
137,3.7689903,72.0003
138,3.7878352,72.1364
139,3.8067744,72.2673
140,3.8258083,72.3934
141,3.8449373,72.5153
142,3.864162,72.6331
143,3.8834828,72.7473
144,3.9029002,72.858
145,3.9224147,72.9654
146,3.9420268,73.0699
147,3.9617369,73.1714
148,3.9815456,73.2703
149,4.0014533,73.3666
150,4.0214606,73.4604
151,4.0415679,73.552
152,4.0617757,73.6414
153,4.0820846,73.7287
154,4.102495,73.8141
155,4.1230075,73.8976
156,4.1436226,73.9793
157,4.1643407,74.0594
158,4.1851624,74.1379
159,4.2060882,74.2151
160,4.2271186,74.2908
161,4.2482542,74.3655
