,keV,f1
0,2.0004844,54.5047
1,2.0104868,54.3632
2,2.0205393,54.2161
3,2.030642,54.0629
4,2.0407952,53.9034
5,2.0509992,53.7372
6,2.0612542,53.5638
7,2.0715604,53.3827
8,2.0819182,53.1934
9,2.0923278,52.9954
10,2.1027895,52.788
11,2.1133034,52.5704
12,2.1238699,52.3419
13,2.1344893,52.1016
14,2.1451617,51.8483
15,2.1558875,51.581
16,2.166667,51.3005
17,2.1775003,51.0009
18,2.1883878,50.6824
19,2.1993297,50.3432
20,2.2103264,49.9805
21,2.221378,49.5916
22,2.2324849,49.1729
23,2.2436473,48.7199
24,2.2548656,48.2272
25,2.2661399,47.6881
26,2.2774706,47.0938
27,2.2888579,46.4329
28,2.3003022,45.6899
29,2.3118037,44.8428
30,2.3233628,43.8592
31,2.3349796,42.6879
32,2.3466545,41.2408
33,2.3583878,39.3445
34,2.3701797,36.5691
35,2.3820306,31.1333
36,2.388655,17.8561
37,2.3899452,17.56
38,2.3939407,28.2573
39,2.4059104,34.9344
40,2.41794,37.5104
41,2.4300297,38.8982
42,2.4421798,39.5964
43,2.4543907,39.6905
44,2.4666627,38.9611
45,2.478996,35.959
46,2.4843943,28.5815
47,2.4858058,28.5013
48,2.491391,36.8012
49,2.5038479,41.5359
50,2.5163672,44.0836
51,2.528949,45.9357
52,2.5415938,47.4244
53,2.5543017,48.6821
54,2.5670732,49.7767
55,2.5799086,50.7481
56,2.5928082,51.6222
57,2.6057722,52.4165
58,2.6188011,53.1438
59,2.6318951,53.8137
60,2.6450545,54.4335
61,2.6582798,55.009
62,2.6715712,55.5447
63,2.6849291,56.0442
64,2.6983537,56.5106
65,2.7118455,56.9461
66,2.7254047,57.3529
67,2.7390317,57.7321
68,2.7527269,58.0851
69,2.7664905,58.4124
70,2.780323,58.7144
71,2.7942246,58.9909
72,2.8081957,59.2412
73,2.8222367,59.4642
74,2.8363479,59.6574
75,2.8505296,59.8175
76,2.8647823,59.9389
77,2.8791062,60.0127
78,2.8935017,60.0239
79,2.9079692,59.9446
80,2.9225091,59.716
81,2.9371216,59.1734
82,2.9518072,57.3502
83,2.9536434,56.6537
84,2.9595566,56.7161
85,2.9665662,58.725
86,2.9813991,60.4119
87,2.9963061,61.4038
88,3.0112876,62.2697
89,3.026344,62.9126
90,3.0414758,63.4445
91,3.0566831,63.9078
92,3.0719666,64.3214
93,3.0873264,64.6956
94,3.102763,65.0359
95,3.1182768,65.35
96,3.1338682,65.645
97,3.1495376,65.922
98,3.1652853,66.1822
99,3.1811117,66.427
100,3.1970172,66.6571
101,3.2130023,66.8732
102,3.2290673,67.0758
103,3.2452127,67.2644
104,3.2614387,67.4384
105,3.2777459,67.5971
106,3.2941347,67.7395
107,3.3106053,67.8635
108,3.3271584,67.966
109,3.3437941,68.041
110,3.3605131,68.0778
111,3.3773157,68.0529
112,3.3942023,67.8992
113,3.410713,67.2314
114,3.4111733,67.1804
115,3.4206869,67.3136
116,3.4282291,67.9227
117,3.4453703,68.5836
118,3.4625971,68.9994
119,3.4799101,69.3225
120,3.4973097,69.5934
121,3.5147962,69.8287
122,3.5323702,70.0367
123,3.5500321,70.2218
124,3.5677822,70.3858
125,3.5856211,70.5286
126,3.6035492,70.6528
127,3.621567,70.759
128,3.6396748,70.8416
129,3.6578732,70.8892
130,3.6761626,70.8727
131,3.6945434,70.6565
132,3.6962102,70.6044
133,3.7119896,70.7221
134,3.7130161,70.7719
135,3.7315812,71.2981
136,3.7502391,71.6117
137,3.7689903,71.8606
138,3.7878352,72.0763
139,3.8067744,72.2709
140,3.8258083,72.4508
141,3.8449373,72.6195
142,3.864162,72.7784
143,3.8834828,72.9288
144,3.9029002,73.072
145,3.9224147,73.2088
146,3.9420268,73.34
147,3.9617369,73.4662
148,3.9815456,73.5878
149,4.0014533,73.7053
150,4.0214606,73.8189
151,4.0415679,73.9289
152,4.0617757,74.0356
153,4.0820846,74.1391
154,4.102495,74.2398
155,4.1230075,74.3377
156,4.1436226,74.433
157,4.1643407,74.5259
158,4.1851624,74.6164
159,4.2060882,74.7047
160,4.2271186,74.791
161,4.2482542,74.8753
162,4.2694955,74.9577
163,4.290843,75.0383
164,4.3122972,75.1173
165,4.3338587,75.1947
166,4.355528,75.2707
167,4.3773056,75.3453
168,4.3991921,75.4186
169,4.4211881,75.491
170,4.443294,75.5624
171,4.4655105,75.632
172,4.4878381,75.6998
173,4.5102772,75.7659
174,4.5328286,75.8303
175,4.5554928,75.8933
176,4.5782702,75.9549
177,4.6011616,76.015
178,4.6241674,76.074
179,4.6472882,76.1317
180,4.6705247,76.1882
181,4.6938773,76.2437
182,4.7173467,76.2981
183,4.7409334,76.3515
184,4.7646381,76.4041
185,4.7884613,76.6394
186,4.8124036,76.6904
187,4.8364656,76.7396
188,4.8606479,76.7871
189,4.8849512,76.8331
190,4.9093759,76.8776
191,4.9339228,76.9207
192,4.9585924,76.9625
193,4.9833854,77.1287
194,5.0083023,77.168
195,5.0333438,77.2057
196,5.0585105,77.2419
197,5.0838031,77.2766
198,5.1092221,77.3099
199,5.1347682,77.3419
200,5.1604421,77.3727
201,5.1862443,77.4022
202,5.2121755,77.4306
203,5.2382364,77.4578
204,5.2644276,77.484
205,5.2907497,77.5092
206,5.3172034,77.5333
207,5.3437895,77.5565
208,5.3705084,77.5788
209,5.3973609,77.6001
210,5.4243477,77.6206
211,5.4514695,77.6403
212,5.4787268,77.6591
213,5.5061205,77.6771
214,5.5336511,77.6944
215,5.5613193,77.7109
216,5.5891259,77.7268
217,5.6170716,77.7419
218,5.6451569,77.7564
219,5.6733827,77.7702
220,5.7017496,77.7834
221,5.7302584,77.796
222,5.7589096,77.808
223,5.7877042,77.8194
224,5.8166427,77.8304
225,5.8457259,77.8408
226,5.8749546,77.8507
227,5.9043293,77.8602
228,5.933851,77.9663
229,5.9635202,77.9752
230,5.9933378,77.9834
231,6.0233045,77.9907
232,6.053421,77.9974
233,6.0836882,78.0033
234,6.1141066,78.0086
235,6.1446771,78.0132
236,6.1754005,78.0172
237,6.2062775,78.0207
238,6.2373089,78.0235
239,6.2684954,78.0258
240,6.2998379,78.0276
241,6.3313371,78.0289
242,6.3629938,78.0297
243,6.3948088,78.03
244,6.4267828,78.0298
245,6.4589167,78.0292
246,6.4912113,78.0281
247,6.5236674,78.0267
248,6.5562857,78.0248
249,6.5890671,78.0225
250,6.6220125,78.0198
251,6.6551225,78.0168
252,6.6883981,78.0134
253,6.7218401,78.0096
