,keV,f1
0,2.0004844,56.7957
1,2.0104868,56.6916
2,2.0205393,56.5837
3,2.030642,56.4717
4,2.0407952,56.3556
5,2.0509992,56.235
6,2.0612542,56.1098
7,2.0715604,55.9797
8,2.0819182,55.8445
9,2.0923278,55.704
10,2.1027895,55.5577
11,2.1133034,55.4054
12,2.1238699,55.2467
13,2.1344893,55.0813
14,2.1451617,54.9086
15,2.1558875,54.7283
16,2.166667,54.5397
17,2.1775003,54.3424
18,2.1883878,54.1355
19,2.1993297,53.9185
20,2.2103264,53.6905
21,2.221378,53.4505
22,2.2324849,53.1975
23,2.2436473,52.9304
24,2.2548656,52.6477
25,2.2661399,52.3478
26,2.2774706,52.029
27,2.2888579,51.6891
28,2.3003022,51.3286
29,2.3118037,50.9384
30,2.3233628,50.5178
31,2.3349796,50.0624
32,2.3466545,49.5667
33,2.3583878,49.0235
34,2.3701797,48.4238
35,2.3820306,47.7555
36,2.3939407,47.0021
37,2.4059104,46.1403
38,2.41794,45.1349
39,2.4300297,43.9297
40,2.4421798,42.4256
41,2.4543907,40.4199
42,2.4666627,37.3738
43,2.478996,30.498
44,2.4833243,19.6236
45,2.4846756,19.3319
46,2.491391,32.1831
47,2.5038479,37.2476
48,2.5163672,39.4971
49,2.528949,40.7389
50,2.5415938,41.3497
51,2.5543017,41.3776
52,2.5670732,40.5726
53,2.5799086,37.3004
54,2.5848604,30.3317
55,2.5863394,30.2515
56,2.5928082,38.8634
57,2.6057722,43.3327
58,2.6188011,45.8091
59,2.6318951,47.6229
60,2.6450545,49.0858
61,2.6582798,50.3245
62,2.6715712,51.4043
63,2.6849291,52.362
64,2.6983537,53.226
65,2.7118455,54.0118
66,2.7254047,54.7318
67,2.7390317,55.3953
68,2.7527269,56.0094
69,2.7664905,56.5799
70,2.780323,57.1111
71,2.7942246,57.6066
72,2.8081957,58.0693
73,2.8222367,58.5016
74,2.8363479,58.9052
75,2.8505296,59.2816
76,2.8647823,59.6318
77,2.8791062,59.9563
78,2.8935017,60.2554
79,2.9079692,60.5288
80,2.9225091,60.7755
81,2.9371216,60.9939
82,2.9518072,61.1812
83,2.9665662,61.3329
84,2.9813991,61.442
85,2.9963061,61.4964
86,3.0112876,61.4556
87,3.026344,61.2783
88,3.0414758,60.8558
89,3.0566831,59.7132
90,3.0632417,58.1196
91,3.0695584,58.1766
92,3.0719666,59.0977
93,3.0873264,61.4244
94,3.102763,62.5402
95,3.1182768,63.3354
96,3.1338682,63.9735
97,3.1495376,64.5153
98,3.1652853,64.99
99,3.1811117,65.4139
100,3.1970172,65.7967
101,3.2130023,66.144
102,3.2290673,66.4611
103,3.2452127,66.7587
104,3.2614387,67.0379
105,3.2777459,67.2999
106,3.2941347,67.5459
107,3.3106053,67.7769
108,3.3271584,67.9937
109,3.3437941,68.197
110,3.3605131,68.387
111,3.3773157,68.5632
112,3.3942023,68.725
113,3.4111733,68.8717
114,3.4282291,69.0023
115,3.4453703,69.1148
116,3.4625971,69.2058
117,3.4799101,69.2696
118,3.4973097,69.2952
119,3.5147962,69.2587
120,3.5323702,69.0914
121,3.5490108,68.4316
122,3.5500321,68.3166
123,3.5593891,68.5065
124,3.5677822,69.1322
125,3.5856211,69.7623
126,3.6035492,70.1606
127,3.621567,70.4697
128,3.6396748,70.7282
129,3.6578732,70.9523
130,3.6761626,71.1499
131,3.6945434,71.3251
132,3.7130161,71.4799
133,3.7315812,71.6138
134,3.7502391,71.7294
135,3.7689903,71.8265
136,3.7878352,71.8988
137,3.8067744,71.933
138,3.8258083,71.8915
139,3.8424209,71.6468
140,3.8449373,71.5435
141,3.8589789,71.7617
142,3.864162,71.9632
143,3.8834828,72.3999
144,3.9029002,72.6895
145,3.9224147,72.9259
146,3.9420268,73.1335
147,3.9617369,73.3228
148,3.9815456,73.4991
149,4.0014533,73.6649
150,4.0214606,73.8213
151,4.0415679,73.9697
152,4.0617757,74.1114
153,4.0820846,74.2469
154,4.102495,74.3771
155,4.1230075,74.5025
156,4.1436226,74.6236
157,4.1643407,74.7406
158,4.1851624,74.8539
159,4.2060882,74.9638
160,4.2271186,75.0705
161,4.2482542,75.1742
162,4.2694955,75.2751
163,4.290843,75.3733
164,4.3122972,75.469
165,4.3338587,75.5623
166,4.355528,75.6533
167,4.3773056,75.7422
168,4.3991921,75.829
169,4.4211881,75.9139
170,4.443294,75.997
171,4.4655105,76.0783
172,4.4878381,76.1579
173,4.5102772,76.236
174,4.5328286,76.3126
175,4.5554928,76.3879
176,4.5782702,76.4619
177,4.6011616,76.5348
178,4.6241674,76.6068
179,4.6472882,76.677
180,4.6705247,76.7453
181,4.6938773,76.8119
182,4.7173467,76.8768
183,4.7409334,76.9402
184,4.7646381,77.0022
185,4.7884613,77.0627
186,4.8124036,77.122
187,4.8364656,77.1799
188,4.8606479,77.2367
189,4.8849512,77.2924
190,4.9093759,77.3469
191,4.9339228,77.4004
192,4.9585924,77.453
193,4.9833854,77.6836
194,5.0083023,77.7342
195,5.0333438,77.783
