,keV,f1
0,2.0004844,58.7556
1,2.0104868,58.678
2,2.0205393,58.5976
3,2.030642,58.5141
4,2.0407952,58.4292
5,2.0509992,58.3394
6,2.0612542,58.2464
7,2.0715604,58.1498
8,2.0819182,58.0497
9,2.0923278,57.9459
10,2.1027895,57.8381
11,2.1133034,57.7263
12,2.1238699,57.6102
13,2.1344893,57.4896
14,2.1451617,57.3644
15,2.1558875,57.2342
16,2.166667,57.0989
17,2.1775003,56.958
18,2.1883878,56.8114
19,2.1993297,56.6587
20,2.2103264,56.4995
21,2.221378,56.3335
22,2.2324849,56.16
23,2.2436473,55.9788
24,2.2548656,55.7891
25,2.2661399,55.5905
26,2.2774706,55.3822
27,2.2888579,55.1635
28,2.3003022,54.9335
29,2.3118037,54.6912
30,2.3233628,54.4357
31,2.3349796,54.1655
32,2.3466545,53.8793
33,2.3583878,53.5754
34,2.3701797,53.2519
35,2.3820306,52.9065
36,2.3939407,52.5365
37,2.4059104,52.1386
38,2.41794,51.7125
39,2.4300297,51.2462
40,2.4421798,50.7372
41,2.4543907,50.1776
42,2.4666627,49.5575
43,2.478996,48.8632
44,2.491391,48.0758
45,2.5038479,47.1678
46,2.5163672,46.0971
47,2.528949,44.7936
48,2.5415938,43.1265
49,2.5543017,40.8023
50,2.5670732,36.8771
51,2.5788933,21.2884
52,2.5799086,16.5394
53,2.5803069,21.0
54,2.5928082,36.5808
55,2.6057722,39.9542
56,2.6188011,41.7054
57,2.6318951,42.6865
58,2.6450545,43.1094
59,2.6582798,42.9465
60,2.6715712,41.8129
61,2.6849291,36.362
62,2.6868259,32.0847
63,2.6883739,32.0049
64,2.6983537,41.989
65,2.7118455,45.6172
66,2.7254047,47.8545
67,2.7390317,49.5441
68,2.7527269,50.9266
69,2.7664905,52.1068
70,2.780323,53.1409
71,2.7942246,54.0629
72,2.8081957,54.8954
73,2.8222367,55.6538
74,2.8363479,56.3498
75,2.8505296,56.9919
76,2.8647823,57.5865
77,2.8791062,58.139
78,2.8935017,58.6535
79,2.9079692,59.1332
80,2.9225091,59.5809
81,2.9371216,59.9987
82,2.9518072,60.3882
83,2.9665662,60.7507
84,2.9813991,61.0868
85,2.9963061,61.3972
86,3.0112876,61.6726
87,3.026344,61.9164
88,3.0414758,62.1293
89,3.0566831,62.3087
90,3.0719666,62.4498
91,3.0873264,62.5453
92,3.102763,62.5832
93,3.1182768,62.5419
94,3.1338682,62.3789
95,3.1495376,61.9902
96,3.1652853,60.9806
97,3.1735006,59.2587
98,3.1802992,59.3216
99,3.1811117,59.6663
100,3.1970172,62.3551
101,3.2130023,63.5185
102,3.2290673,64.3326
103,3.2452127,64.9813
104,3.2614387,65.5301
105,3.2777459,66.0102
106,3.2941347,66.4386
107,3.3106053,66.8256
108,3.3271584,67.177
109,3.3437941,67.4976
110,3.3605131,67.7991
111,3.3773157,68.0821
112,3.3942023,68.3479
113,3.4111733,68.5976
114,3.4282291,68.8325
115,3.4453703,69.0534
116,3.4625971,69.2609
117,3.4799101,69.4556
118,3.4973097,69.6376
119,3.5147962,69.806
120,3.5323702,69.9603
121,3.5500321,70.0998
122,3.5677822,70.2232
123,3.5856211,70.3284
124,3.6035492,70.4118
125,3.621567,70.467
126,3.6396748,70.4818
127,3.6578732,70.429
128,3.6761626,70.225
129,3.6909034,69.6035
130,3.6945434,68.9929
131,3.7016966,69.678
132,3.7130161,70.4262
133,3.7315812,71.0039
134,3.7502391,71.3851
135,3.7689903,71.6842
136,3.7878352,71.9352
137,3.8067744,72.1526
138,3.8258083,72.3438
139,3.8449373,72.5125
140,3.864162,72.66
141,3.8834828,72.7857
142,3.9029002,72.8929
143,3.9224147,72.9798
144,3.9420268,73.038
145,3.9617369,73.0478
146,3.9815456,72.942
147,3.9904219,72.7708
148,4.0014533,72.4061
149,4.007778,72.8852
150,4.0214606,73.2941
151,4.0415679,73.6411
152,4.0617757,73.9004
153,4.0820846,74.1203
154,4.102495,74.317
155,4.1230075,74.4982
156,4.1436226,74.6677
157,4.1643407,74.8266
158,4.1851624,74.9771
159,4.2060882,75.1204
160,4.2271186,75.2573
161,4.2482542,75.3885
162,4.2694955,75.5147
163,4.290843,75.6362
164,4.3122972,75.7536
165,4.3338587,75.8672
166,4.355528,75.9772
167,4.3773056,76.0839
168,4.3991921,76.1876
169,4.4211881,76.2884
170,4.443294,76.3864
171,4.4655105,76.4819
172,4.4878381,76.575
173,4.5102772,76.6658
174,4.5328286,76.7543
175,4.5554928,76.8409
176,4.5782702,76.9254
177,4.6011616,77.0081
178,4.6241674,77.0889
179,4.6472882,77.1682
180,4.6705247,77.2458
181,4.6938773,77.3219
182,4.7173467,77.3966
183,4.7409334,77.4701
184,4.7646381,77.5424
185,4.7884613,77.6137
186,4.8124036,77.684
187,4.8364656,77.7525
188,4.8606479,77.8192
189,4.8849512,77.8841
190,4.9093759,77.9474
191,4.9339228,78.0091
192,4.9585924,78.0695
193,4.9833854,78.1284
194,5.0083023,78.1861
195,5.0333438,78.2425
196,5.0585105,78.2977
197,5.0838031,78.3517
198,5.1092221,78.4047
199,5.1347682,78.4567
200,5.1604421,78.6824
201,5.1862443,78.7327
202,5.2121755,78.7814
203,5.2382364,78.8284
204,5.2644276,78.8738
205,5.2907497,78.9177
206,5.3172034,78.9602
207,5.3437895,79.0014
208,5.3705084,79.0413
209,5.3973609,79.2005
210,5.4243477,79.2379
211,5.4514695,79.2736
212,5.4787268,79.308
213,5.5061205,79.3409
214,5.5336511,79.3725
215,5.5613193,79.4028
216,5.5891259,79.432
217,5.6170716,79.4599
218,5.6451569,79.4867
219,5.6733827,79.5124
220,5.7017496,79.5371
221,5.7302584,79.5608
222,5.7589096,79.5835
223,5.7877042,79.6052
224,5.8166427,79.626
225,5.8457259,79.6459
226,5.8749546,79.665
227,5.9043293,79.6832
228,5.933851,79.7006
229,5.9635202,79.7173
230,5.9933378,79.7332
231,6.0233045,79.7483
232,6.053421,79.7627
233,6.0836882,79.7765
234,6.1141066,79.7896
235,6.1446771,79.802
236,6.1754005,79.8138
237,6.2062775,79.825
238,6.2373089,79.8356
239,6.2684954,79.8457
240,6.2998379,79.8552
241,6.3313371,79.8642
242,6.3629938,79.9627
243,6.3948088,79.9711
244,6.4267828,79.9787
245,6.4589167,79.9856
246,6.4912113,79.9919
247,6.5236674,79.9975
248,6.5562857,80.0026
249,6.5890671,80.007
250,6.6220125,80.0109
251,6.6551225,80.0142
252,6.6883981,80.017
253,6.7218401,80.0193
254,6.7554493,80.0211
255,6.7892266,80.0224
256,6.8231727,80.0232
257,6.8572886,80.0236
258,6.891575,80.0235
259,6.9260329,80.023
260,6.9606631,80.0221
261,6.9954664,80.0208
262,7.0304437,80.0192
263,7.0655959,80.0171
264,7.1009239,80.0147
265,7.1364285,80.0119
266,7.1721107,80.0087
267,7.2079712,80.0053
268,7.2440111,80.0015
269,7.2802311,79.9974
270,7.3166323,79.993
271,7.3532155,79.9883
272,7.3899815,79.9834
273,7.4269314,80.0187
274,7.4640661,80.0134
275,7.5013864,80.0077
276,7.5388934,80.0016
277,7.5765878,79.9953
278,7.6144708,79.9885
279,7.6525431,79.9815
280,7.6908058,79.9742
281,7.7292599,79.9666
282,7.7679062,79.9587
283,7.8067457,79.9505
284,7.8457794,79.9421
285,7.8850083,79.9334
286,7.9244334,79.9245
287,7.9640555,79.9153
288,8.0038758,79.9218
289,8.0438952,79.9123
290,8.0841147,79.9025
291,8.1245352,79.8925
292,8.1651579,79.8822
293,8.2059837,79.8717
294,8.2470136,79.861
295,8.2882487,79.8501
296,8.3296899,79.839
297,8.3713384,79.8277
298,8.4131951,79.8163
299,8.455261,79.8047
300,8.4975373,79.7929
301,8.540025,79.7811
302,9.030794,79.8266
303,9.653919,79.5165
304,10.32004,79.0905
305,11.03212,78.5285
306,11.79334,77.7329
307,12.60708,76.3493
308,13.15023,74.2164
309,13.35151,71.5534
310,13.40518,68.4285
311,13.47697,71.2647
312,13.48569,71.542
313,13.68697,74.2949
314,14.40688,76.5928
315,15.40095,76.4559
316,15.63254,75.248
317,15.69539,73.6894
318,15.78966,75.2858
319,16.02532,76.6589
320,16.05975,76.7446
321,16.30556,76.793
322,16.37111,76.1419
323,16.46362,77.0952
324,16.46944,77.1442
325,16.71525,78.2901
326,17.59961,80.0284
327,18.81398,81.2193
328,20.11215,81.9554
329,21.49988,82.4469
330,22.98338,82.7776
331,24.56923,83.002
332,26.2645,83.1578
333,28.07676,83.3329
334,30.01405,83.3697
335,32.08502,83.4019
336,34.29889,83.3971
337,36.66551,83.3394
338,39.19543,83.2653
339,41.89992,83.1805
340,44.79101,83.0883
341,47.88159,82.9909
342,51.18542,82.8892
343,54.71721,82.783
344,58.4927,82.6715
345,62.5287,82.5504
346,66.84318,82.4143
347,71.45536,82.2538
348,76.38578,82.0458
349,81.6564,81.7328
350,87.29069,81.0362
351,88.71538,80.6187
352,90.07327,79.5832
353,90.43538,78.3443
354,90.97853,79.6356
355,92.33642,80.7647
356,93.31374,81.1246
357,99.75239,82.1272
358,106.6353,82.565
359,113.9931,82.8245
360,121.8587,82.9931
361,130.2669,83.1076
362,139.2553,83.1841
363,148.864,83.234
364,159.1356,83.2652
365,170.1159,83.2831
366,181.8539,83.2912
367,194.4018,83.2924
368,207.8156,83.2882
369,222.1548,83.2803
370,237.4835,83.2698
371,253.8699,83.2575
372,271.3869,83.2441
373,290.1126,83.2301
374,310.1304,83.2159
375,331.5294,83.2018
376,354.4049,83.1879
377,378.8588,83.1744
378,405.0001,83.1615
379,432.9451,83.1491
