,keV,f1
0,2.0004844,60.5161
1,2.0104868,60.4632
2,2.0205393,60.4077
3,2.030642,60.3497
4,2.0407952,60.2891
5,2.0509992,60.2259
6,2.0612542,60.1601
7,2.0715604,60.0915
8,2.0819182,60.02
9,2.0923278,59.9458
10,2.1027895,59.8685
11,2.1133034,59.7882
12,2.1238699,59.708
13,2.1344893,59.6213
14,2.1451617,59.5313
15,2.1558875,59.4378
16,2.166667,59.3407
17,2.1775003,59.2399
18,2.1883878,59.1351
19,2.1993297,59.0262
20,2.2103264,58.913
21,2.221378,58.7954
22,2.2324849,58.6731
23,2.2436473,58.5458
24,2.2548656,58.4134
25,2.2661399,58.2755
26,2.2774706,58.1319
27,2.2888579,57.9821
28,2.3003022,57.8259
29,2.3118037,57.6628
30,2.3233628,57.4924
31,2.3349796,57.3142
32,2.3466545,57.1277
33,2.3583878,56.9322
34,2.3701797,56.7271
35,2.3820306,56.5116
36,2.3939407,56.2848
37,2.4059104,56.0459
38,2.41794,55.7936
39,2.4300297,55.5268
40,2.4421798,55.244
41,2.4543907,54.9436
42,2.4666627,54.6235
43,2.478996,54.2815
44,2.491391,53.915
45,2.5038479,53.5205
46,2.5163672,53.0941
47,2.528949,52.631
48,2.5415938,52.1249
49,2.5543017,51.5679
50,2.5670732,50.9498
51,2.5799086,50.2566
52,2.5928082,49.4687
53,2.6057722,48.5579
54,2.6188011,47.48
55,2.6318951,46.1608
56,2.6450545,44.4594
57,2.6582798,42.05
58,2.6715712,37.8063
59,2.6822596,23.1295
60,2.6837406,22.8458
61,2.6849291,27.9442
62,2.6983537,38.8204
63,2.7118455,41.8826
64,2.7254047,43.5247
65,2.7390317,44.4561
66,2.7527269,44.8609
67,2.7664905,44.7102
68,2.780323,43.656
69,2.7942246,39.0917
70,2.7971803,33.8657
71,2.7988199,33.7869
72,2.8081957,43.2845
73,2.8222367,47.0858
74,2.8363479,49.363
75,2.8505296,51.066
76,2.8647823,52.452
77,2.8791062,53.6311
78,2.8935017,54.6615
79,2.9079692,55.578
80,2.9225091,56.4036
81,2.9371216,57.1541
82,2.9518072,57.8411
83,2.9665662,58.473
84,2.9813991,59.0566
85,2.9963061,59.5993
86,3.0112876,60.0956
87,3.026344,60.5594
88,3.0414758,60.9913
89,3.0566831,61.3922
90,3.0719666,61.7636
91,3.0873264,62.1064
92,3.102763,62.4213
93,3.1182768,62.7082
94,3.1338682,62.967
95,3.1495376,63.1964
96,3.1652853,63.3946
97,3.1811117,63.5582
98,3.1970172,63.6822
99,3.2130023,63.7582
100,3.2290673,63.7722
101,3.2452127,63.6988
102,3.2614387,63.4853
103,3.2777459,62.9924
104,3.2941347,61.5485
105,3.2982348,60.4706
106,3.305565,60.5387
107,3.3106053,61.9636
108,3.3271584,63.8848
