,keV,f1
0,2.0004844,62.1804
1,2.0104868,62.1396
2,2.0205393,62.0971
3,2.030642,62.0529
4,2.0407952,62.0071
5,2.0509992,61.9595
6,2.0612542,61.91
7,2.0715604,61.8588
8,2.0819182,61.8057
9,2.0923278,61.7467
10,2.1027895,61.6898
11,2.1133034,61.6309
12,2.1238699,61.5699
13,2.1344893,61.5067
14,2.1451617,61.441
15,2.1558875,61.3725
16,2.166667,61.3012
17,2.1775003,61.227
18,2.1883878,61.1498
19,2.1993297,61.0695
20,2.2103264,60.9861
21,2.221378,60.9045
22,2.2324849,60.8145
23,2.2436473,60.721
24,2.2548656,60.6238
25,2.2661399,60.5229
26,2.2774706,60.418
27,2.2888579,60.309
28,2.3003022,60.1957
29,2.3118037,60.0779
30,2.3233628,59.9554
31,2.3349796,59.828
32,2.3466545,59.6953
33,2.3583878,59.5571
34,2.3701797,59.4131
35,2.3820306,59.263
36,2.3939407,59.1063
37,2.4059104,58.9427
38,2.41794,58.7717
39,2.4300297,58.5928
40,2.4421798,58.4054
41,2.4543907,58.209
42,2.4666627,58.0028
43,2.478996,57.786
44,2.491391,57.5578
45,2.5038479,57.3171
46,2.5163672,57.0629
47,2.528949,56.7938
48,2.5415938,56.5083
49,2.5543017,56.2047
50,2.5670732,55.8809
51,2.5799086,55.5345
52,2.5928082,55.1626
53,2.6057722,54.7618
54,2.6188011,54.3277
55,2.6318951,53.8551
56,2.6450545,53.3372
57,2.6582798,52.7621
58,2.6715712,52.125
59,2.6849291,51.4068
60,2.6983537,50.5855
61,2.7118455,49.6278
62,2.7254047,48.4808
63,2.7390317,47.0512
64,2.7527269,45.1506
65,2.7664905,42.2866
66,2.780323,36.0743
67,2.7859225,24.9183
68,2.7874775,24.6386
69,2.7942246,36.586
70,2.8081957,41.9162
71,2.8222367,44.2477
72,2.8363479,45.572
73,2.8505296,46.3024
74,2.8647823,46.538
75,2.8791062,46.1883
76,2.8935017,44.7409
77,2.9079692,34.664
78,2.9095697,35.2111
79,2.9225091,45.9635
80,2.9371216,49.2886
81,2.9518072,51.4263
82,2.9665662,53.0571
83,2.9813991,54.3935
84,2.9963061,55.5315
85,3.0112876,56.539
86,3.026344,57.4338
87,3.0414758,58.2322
88,3.0566831,58.9481
89,3.0719666,59.6009
90,3.0873264,60.2011
91,3.102763,60.7542
92,3.1182768,61.2649
93,3.1338682,61.737
94,3.1495376,62.1737
95,3.1652853,62.5775
96,3.1811117,62.9504
97,3.1970172,63.2938
98,3.2130023,63.6087
99,3.2290673,63.8955
100,3.2452127,64.1543
101,3.2614387,64.3844
102,3.2777459,64.5842
103,3.2941347,64.7511
104,3.3106053,64.8811
105,3.3271584,64.9672
106,3.3437941,64.9983
107,3.3605131,64.9547
108,3.3773157,64.7979
109,3.3942023,64.4375
110,3.4111733,63.5591
111,3.4220602,61.718
112,3.4282291,60.8811
113,3.42994,61.7851
114,3.4453703,64.4809
115,3.4625971,65.7151
116,3.4799101,66.551
117,3.4973097,67.208
118,3.5147962,67.76
119,3.5323702,68.2409
120,3.5500321,68.6694
121,3.5677822,69.0562
122,3.5856211,69.4079
123,3.6035492,69.7284
124,3.621567,70.03
125,3.6396748,70.3141
126,3.6578732,70.5812
127,3.6761626,70.8327
128,3.6945434,71.0697
129,3.7130161,71.2934
130,3.7315812,71.5044
131,3.7502391,71.7034
132,3.7689903,71.8908
133,3.7878352,72.0668
134,3.8067744,72.2297
135,3.8258083,72.3791
136,3.8449373,72.5145
137,3.864162,72.6348
138,3.8834828,72.7379
139,3.9029002,72.8209
140,3.9224147,72.8781
141,3.9420268,72.8994
142,3.9617369,72.8631
143,3.9815456,72.7088
144,4.0014533,72.0824
145,4.0023486,72.0069
146,4.0136512,72.0742
147,4.0214606,72.6244
148,4.0415679,73.2843
149,4.0617757,73.6831
150,4.0820846,73.9871
151,4.102495,74.2385
152,4.1230075,74.4541
153,4.1436226,74.6422
154,4.1643407,74.8068
155,4.1851624,74.9494
156,4.2060882,75.0688
157,4.2271186,75.1655
158,4.2482542,75.2375
159,4.2694955,75.2703
160,4.290843,75.2228
161,4.3080637,74.9852
162,4.3122972,74.8018
163,4.3259361,75.0946
164,4.3338587,75.3546
165,4.355528,75.7624
166,4.3773056,76.0413
167,4.3991921,76.271
168,4.4211881,76.4735
169,4.443294,76.6586
170,4.4655105,76.8307
171,4.4878381,76.9916
172,4.5102772,77.1433
173,4.5328286,77.2873
174,4.5554928,77.4247
175,4.5782702,77.556
176,4.6011616,77.6821
177,4.6241674,77.8034
178,4.6472882,77.9203
179,4.6705247,78.0333
180,4.6938773,78.1426
181,4.7173467,78.2484
182,4.7409334,78.3511
183,4.7646381,78.4507
184,4.7884613,78.5475
185,4.8124036,78.6417
186,4.8364656,78.7333
187,4.8606479,78.8225
188,4.8849512,78.9094
189,4.9093759,78.9942
190,4.9339228,79.077
191,4.9585924,79.1577
192,4.9833854,79.2366
193,5.0083023,79.3138
194,5.0333438,79.3892
195,5.0585105,79.4631
196,5.0838031,79.5355
197,5.1092221,79.6065
198,5.1347682,79.6762
199,5.1604421,79.7447
200,5.1862443,79.8122
201,5.2121755,79.8789
202,5.2382364,79.9439
203,5.2644276,80.007
204,5.2907497,80.0684
205,5.3172034,80.1281
206,5.3437895,80.1863
207,5.3705084,80.2431
208,5.3973609,80.2985
209,5.4243477,80.3526
210,5.4514695,80.4055
211,5.4787268,80.4572
212,5.5061205,80.5077
213,5.5336511,80.5572
214,5.5613193,80.6057
215,5.5891259,80.8195
216,5.6170716,80.8659
217,5.6451569,80.9106
218,5.6733827,80.9538
219,5.7017496,80.9955
220,5.7302584,81.0358
221,5.7589096,81.0748
222,5.7877042,81.1126
223,5.8166427,81.1491
224,5.8457259,81.2989
225,5.8749546,81.3329
226,5.9043293,81.3655
227,5.933851,81.3968
228,5.9635202,81.4269
229,5.9933378,81.4558
230,6.0233045,81.4835
231,6.053421,81.51
232,6.0836882,81.5356
233,6.1141066,81.56
234,6.1446771,81.5835
235,6.1754005,81.6061
236,6.2062775,81.6277
237,6.2373089,81.6483
238,6.2684954,81.6682
239,6.2998379,81.6871
240,6.3313371,81.7053
241,6.3629938,81.7226
242,6.3948088,81.7392
243,6.4267828,81.7551
244,6.4589167,81.7702
245,6.4912113,81.7846
246,6.5236674,81.7983
247,6.5562857,81.8114
248,6.5890671,81.8238
249,6.6220125,81.8356
250,6.6551225,81.8468
251,6.6883981,81.8575
252,6.7218401,81.8676
253,6.7554493,81.8771
254,6.7892266,81.8862
255,6.8231727,81.8947
256,6.8572886,81.992
257,6.891575,81.9999
258,6.9260329,82.0071
259,6.9606631,82.0137
260,6.9954664,82.0197
261,7.0304437,82.0251
262,7.0655959,82.0299
263,7.1009239,82.0342
264,7.1364285,82.038
265,7.1721107,82.0412
266,7.2079712,82.0439
267,7.2440111,82.0462
268,7.2802311,82.048
269,7.3166323,82.0493
270,7.3532155,82.0503
271,7.3899815,82.0508
272,7.4269314,82.0509
273,7.4640661,82.0506
274,7.5013864,82.0499
275,7.5388934,82.0489
276,7.5765878,82.0475
277,7.6144708,82.0458
278,7.6525431,82.0437
279,7.6908058,82.0413
280,7.7292599,82.0387
281,7.7679062,82.0357
282,7.8067457,82.0325
283,7.8457794,82.0289
284,7.8850083,82.0252
285,7.9244334,82.0212
286,7.9640555,82.0169
287,8.0038758,82.0125
288,8.0438952,82.0452
289,8.0841147,82.0404
290,8.1245352,82.0354
291,8.1651579,82.03
292,8.2059837,82.0244
293,8.2470136,82.0186
294,8.2882487,82.0126
295,8.3296899,82.0064
296,8.3713384,82.0
297,8.4131951,81.9934
298,8.455261,81.9867
299,8.4975373,81.9799
300,8.540025,81.973
301,9.030794,82.2117
302,9.653919,81.9647
303,10.32004,81.6115
304,11.03212,81.1566
305,11.79334,80.5644
