,keV,f1
0,2.0004844,63.536
1,2.0104868,63.5059
2,2.0205393,63.4748
3,2.030642,63.4426
4,2.0407952,63.4093
5,2.0509992,63.3749
6,2.0612542,63.3393
7,2.0715604,63.3025
8,2.0819182,63.2646
9,2.0923278,63.2254
10,2.1027895,63.1849
11,2.1133034,63.1432
12,2.1238699,63.1002
13,2.1344893,63.0558
14,2.1451617,63.01
15,2.1558875,62.9627
16,2.166667,62.9132
17,2.1775003,62.8616
18,2.1883878,62.8078
19,2.1993297,62.7472
20,2.2103264,62.689
21,2.221378,62.6284
22,2.2324849,62.5654
23,2.2436473,62.5
24,2.2548656,62.4319
25,2.2661399,62.3613
26,2.2774706,62.2877
27,2.2888579,62.2108
28,2.3003022,62.1306
29,2.3118037,62.0527
30,2.3233628,61.9656
31,2.3349796,61.8747
32,2.3466545,61.7801
33,2.3583878,61.6816
34,2.3701797,61.5789
35,2.3820306,61.472
36,2.3939407,61.3607
37,2.4059104,61.2447
38,2.41794,61.1238
39,2.4300297,60.9978
40,2.4421798,60.8664
41,2.4543907,60.7293
42,2.4666627,60.5863
43,2.478996,60.4369
44,2.491391,60.2808
45,2.5038479,60.1175
46,2.5163672,59.9466
47,2.528949,59.7675
48,2.5415938,59.5797
49,2.5543017,59.3825
50,2.5670732,59.1752
51,2.5799086,58.9569
52,2.5928082,58.7268
53,2.6057722,58.4837
54,2.6188011,58.2264
55,2.6318951,57.9537
56,2.6450545,57.6637
57,2.6582798,57.3547
58,2.6715712,57.0244
59,2.6849291,56.6701
60,2.6983537,56.2888
61,2.7118455,55.8765
62,2.7254047,55.4284
63,2.7390317,54.9385
64,2.7527269,54.3992
65,2.7664905,53.8004
66,2.780323,53.1286
67,2.7942246,52.3638
68,2.8081957,51.4805
69,2.8222367,50.4349
70,2.8363479,49.1554
71,2.8505296,47.5069
72,2.8647823,45.1815
73,2.8791062,41.1545
74,2.8915873,25.9768
75,2.8935017,27.3618
76,2.9079692,41.6766
77,2.9225091,45.0424
78,2.9371216,46.8582
79,2.9518072,47.9339
80,2.9665662,48.4939
81,2.9813991,48.5621
82,2.9963061,47.9571
83,3.0112876,45.8173
84,3.0205816,38.0654
85,3.0224186,37.9935
86,3.026344,43.9426
87,3.0414758,49.5564
88,3.0566831,52.1432
89,3.0719666,53.955
90,3.0873264,55.3834
91,3.102763,56.5745
92,3.1182768,57.6004
93,3.1338682,58.5025
94,3.1495376,59.3073
95,3.1652853,60.0326
96,3.1811117,60.6914
97,3.1970172,61.2932
98,3.2130023,61.8451
99,3.2290673,62.3529
100,3.2452127,62.8209
101,3.2614387,63.2527
102,3.2777459,63.6508
103,3.2941347,64.0174
104,3.3106053,64.3539
105,3.3271584,64.6613
106,3.3437941,64.94
107,3.3605131,65.1898
108,3.3773157,65.4097
109,3.3942023,65.5976
110,3.4111733,65.7504
111,3.4282291,65.8626
112,3.4453703,65.9253
113,3.4625971,65.9236
114,3.4799101,65.8294
115,3.4973097,65.583
116,3.5147962,65.0178
117,3.5323702,63.1454
118,3.5337899,62.7247
119,3.5422103,62.7987
120,3.5500321,64.5407
121,3.5677822,66.205
122,3.5856211,67.1795
123,3.6035492,67.9089
124,3.621567,68.5076
125,3.6396748,69.0227
126,3.6578732,69.4782
127,3.6761626,69.8877
128,3.6945434,70.2597
129,3.7130161,70.5984
130,3.7315812,70.9125
131,3.7502391,71.2108
132,3.7689903,71.4936
133,3.7878352,71.7594
134,3.8067744,72.0095
135,3.8258083,72.2452
136,3.8449373,72.4675
137,3.864162,72.6771
138,3.8834828,72.8747
139,3.9029002,73.0606
140,3.9224147,73.2351
141,3.9420268,73.3978
142,3.9617369,73.548
143,3.9815456,73.6851
144,4.0014533,73.8082
145,4.0214606,73.9157
146,4.0415679,74.0049
147,4.0617757,74.0715
148,4.0820846,74.1077
149,4.102495,74.0981
150,4.1230075,74.0053
151,4.1436226,73.6876
152,4.1532189,73.2146
153,4.1643407,73.2317
154,4.1647809,73.2794
155,4.1851624,74.2703
156,4.2060882,74.7351
157,4.2271186,75.0676
158,4.2482542,75.3355
159,4.2694955,75.5626
160,4.290843,75.7598
161,4.3122972,75.9326
162,4.3338587,76.0833
163,4.355528,76.2121
164,4.3773056,76.3179
165,4.3991921,76.4025
166,4.4211881,76.4572
167,4.443294,76.46
168,4.4655105,76.3275
169,4.4729462,76.1801
170,4.4878381,76.1223
171,4.4910535,76.2843
172,4.5102772,76.7693
173,4.5328286,77.0907
174,4.5554928,77.338
175,4.5782702,77.5502
176,4.6011616,77.7414
177,4.6241674,77.9167
178,4.6472882,78.0797
179,4.6705247,78.2329
180,4.6938773,78.378
181,4.7173467,78.5163
182,4.7409334,78.6483
183,4.7646381,78.7748
184,4.7884613,78.8963
185,4.8124036,79.0133
186,4.8364656,79.1262
187,4.8606479,79.2353
188,4.8849512,79.3409
189,4.9093759,79.4432
190,4.9339228,79.5424
191,4.9585924,79.6387
192,4.9833854,79.7323
193,5.0083023,79.8233
194,5.0333438,79.9118
195,5.0585105,79.998
196,5.0838031,80.0821
197,5.1092221,80.164
198,5.1347682,80.2439
199,5.1604421,80.3219
200,5.1862443,80.3981
201,5.2121755,80.4726
202,5.2382364,80.5454
203,5.2644276,80.6167
204,5.2907497,80.6866
205,5.3172034,80.7551
206,5.3437895,80.8225
207,5.3705084,80.8887
208,5.3973609,80.954
209,5.4243477,81.0181
210,5.4514695,81.0803
211,5.4787268,81.1406
212,5.5061205,81.1993
213,5.5336511,81.2564
214,5.5613193,81.312
215,5.5891259,81.3662
216,5.6170716,81.4191
217,5.6451569,81.4706
218,5.6733827,81.521
219,5.7017496,81.5701
220,5.7302584,81.6182
221,5.7589096,81.6652
222,5.7877042,81.8721
223,5.8166427,81.9171
224,5.8457259,81.9606
225,5.8749546,82.0025
226,5.9043293,82.0431
227,5.933851,82.0823
228,5.9635202,82.1203
229,5.9933378,82.157
230,6.0233045,82.1926
231,6.053421,82.3382
232,6.0836882,82.3714
233,6.1141066,82.4033
234,6.1446771,82.434
235,6.1754005,82.4635
236,6.2062775,82.4918
237,6.2373089,82.5191
238,6.2684954,82.5452
239,6.2998379,82.5704
240,6.3313371,82.5945
241,6.3629938,82.6177
242,6.3948088,82.6399
243,6.4267828,82.6613
244,6.4589167,82.6818
245,6.4912113,82.7014
246,6.5236674,82.7202
247,6.5562857,82.7382
248,6.5890671,82.7555
249,6.6220125,82.7719
250,6.6551225,82.7877
251,6.6883981,82.8027
252,6.7218401,82.8171
253,6.7554493,82.8308
254,6.7892266,82.8439
255,6.8231727,82.8563
256,6.8572886,82.8681
257,6.891575,82.8794
258,6.9260329,82.8901
259,6.9606631,82.9002
260,6.9954664,82.9098
261,7.0304437,82.9189
262,7.0655959,82.9276
263,7.1009239,83.0258
264,7.1364285,83.0337
265,7.1721107,83.041
266,7.2079712,83.0476
267,7.2440111,83.0536
268,7.2802311,83.0591
269,7.3166323,83.0641
270,7.3532155,83.0685
271,7.3899815,83.0724
272,7.4269314,83.0758
273,7.4640661,83.0787
274,7.5013864,83.0812
275,7.5388934,83.0832
276,7.5765878,83.0848
277,7.6144708,83.086
278,7.6525431,83.0868
279,7.6908058,83.0872
280,7.7292599,83.0872
281,7.7679062,83.0869
282,7.8067457,83.0862
283,7.8457794,83.0852
284,7.8850083,83.0839
285,7.9244334,83.0823
286,7.9640555,83.0803
287,8.0038758,83.0781
288,8.0438952,83.0757
289,8.0841147,83.0729
290,8.1245352,83.07
291,8.1651579,83.0668
292,8.2059837,83.0634
293,8.2470136,83.0598
294,8.2882487,83.0561
295,8.3296899,83.0911
296,8.3713384,83.0873
297,8.4131951,83.0833
298,8.455261,83.0791
299,8.4975373,83.0748
300,8.540025,83.0703
301,9.030794,83.3675
302,9.653919,83.1474
303,10.32004,82.8248
304,11.03212,82.4107
305,11.79334,81.8825
306,12.60708,81.1713
307,13.47697,80.048
308,14.32701,77.4631
309,14.40688,76.864
310,14.5463,74.8515
311,14.60478,71.7863
312,14.6925,74.8389
313,14.91179,77.5422
314,15.40095,79.3574
315,16.46362,80.2686
316,16.99036,79.7622
317,17.25041,78.5366
318,17.31976,76.9944
319,17.42378,78.5556
320,17.59961,79.6359
321,17.68802,79.8846
322,17.95875,79.9644
323,18.03095,79.3318
324,18.13924,80.3157
325,18.40998,81.4412
326,18.81398,82.3219
327,20.11215,83.8524
328,21.49988,84.7234
329,22.98338,85.2917
330,24.56923,85.6786
331,26.2645,85.9512
332,28.07676,86.1471
333,30.01405,86.3113
334,32.08502,86.3539
335,34.29889,86.3577
336,36.66551,86.3973
337,39.19543,86.3486
338,41.89992,86.2805
339,44.79101,86.2003
340,47.88159,86.1118
341,51.18542,86.0176
342,54.71721,85.9188
343,58.4927,85.8157
344,62.5287,85.7075
345,66.84318,85.5914
346,71.45536,85.4621
347,76.38578,85.3123
348,81.6564,85.1253
349,87.29069,84.8517
350,93.31374,84.3273
351,96.43592,83.6637
352,97.91198,82.6496
353,98.3056,81.4368
354,98.89602,82.7006
355,99.75239,83.5003
356,100.3721,83.8054
357,106.6353,84.9779
358,113.9931,85.479
359,121.8587,85.7643
360,130.2669,85.9468
361,139.2553,86.0696
362,148.864,86.1528
363,159.1356,86.2076
364,170.1159,86.2427
365,181.8539,86.2636
366,194.4018,86.2742
367,207.8156,86.2772
368,222.1548,86.2748
369,237.4835,86.2685
370,253.8699,86.2595
371,271.3869,86.2486
372,290.1126,86.2365
373,310.1304,86.2236
374,331.5294,86.2103
375,354.4049,86.197
376,378.8588,86.1839
377,405.0001,86.1711
378,432.9451,86.1587
