,keV,f1
0,2.0004844,65.0079
1,2.0104868,64.986
2,2.0205393,64.9632
3,2.030642,64.9394
4,2.0407952,64.9146
5,2.0509992,64.8887
6,2.0612542,64.8619
7,2.0715604,64.834
8,2.0819182,64.805
9,2.0923278,64.7749
10,2.1027895,64.7437
11,2.1133034,64.7114
12,2.1238699,64.6779
13,2.1344893,64.6433
14,2.1451617,64.6074
15,2.1558875,64.5702
16,2.166667,64.5318
17,2.1775003,64.4921
18,2.1883878,64.4511
19,2.1993297,64.4086
20,2.2103264,64.3648
21,2.221378,64.3196
22,2.2324849,64.2728
23,2.2436473,64.2245
24,2.2548656,64.1747
25,2.2661399,64.1233
26,2.2774706,64.0702
27,2.2888579,64.0154
28,2.3003022,63.9588
29,2.3118037,63.8966
30,2.3233628,63.8359
31,2.3349796,63.7726
32,2.3466545,63.7066
33,2.3583878,63.6378
34,2.3701797,63.5662
35,2.3820306,63.4916
36,2.3939407,63.4141
37,2.4059104,63.3334
38,2.41794,63.2495
39,2.4300297,63.1683
40,2.4421798,63.0769
41,2.4543907,62.9814
42,2.4666627,62.8818
43,2.478996,62.7778
44,2.491391,62.6692
45,2.5038479,62.5559
46,2.5163672,62.4376
47,2.528949,62.3142
48,2.5415938,62.1852
49,2.5543017,62.0504
50,2.5670732,61.9096
51,2.5799086,61.7623
52,2.5928082,61.6081
53,2.6057722,61.4466
54,2.6188011,61.2773
55,2.6318951,61.0997
56,2.6450545,60.9132
57,2.6582798,60.7171
58,2.6715712,60.5106
59,2.6849291,60.2928
60,2.6983537,60.0629
61,2.7118455,59.8196
62,2.7254047,59.5617
63,2.7390317,59.2877
64,2.7527269,58.9959
65,2.7664905,58.6842
66,2.780323,58.3502
67,2.7942246,57.9911
68,2.8081957,57.6033
69,2.8222367,57.1826
70,2.8363479,56.7236
71,2.8505296,56.2195
72,2.8647823,55.6615
73,2.8791062,55.0377
74,2.8935017,54.3319
75,2.9079692,53.5207
76,2.9225091,52.5686
77,2.9371216,51.4179
78,2.9518072,49.9695
79,2.9665662,47.9916
80,2.9813991,44.8559
81,2.9963061,36.1443
82,2.9988482,29.0598
83,3.000552,28.7932
84,3.0112876,42.1044
85,3.026344,46.1755
86,3.0414758,48.1844
87,3.0566831,49.3687
88,3.0719666,50.0364
89,3.0873264,50.2632
90,3.102763,49.9701
91,3.1182768,48.7402
92,3.1338682,42.6489
93,3.135234,39.7354
94,3.1371659,39.6606
95,3.1495376,49.1388
96,3.1652853,52.4315
97,3.1811117,54.486
98,3.1970172,56.0404
99,3.2130023,57.3118
100,3.2290673,58.3958
101,3.2452127,59.3438
102,3.2614387,60.1871
103,3.2777459,60.9461
104,3.2941347,61.6351
105,3.3106053,62.2646
106,3.3271584,62.8423
107,3.3437941,63.3742
108,3.3605131,63.8649
109,3.3773157,64.318
110,3.3942023,64.7364
111,3.4111733,65.1221
112,3.4282291,65.4767
113,3.4453703,65.8011
114,3.4625971,66.0957
