,keV,f1
0,2.0004844,66.7703
1,2.0104868,66.7542
2,2.0205393,66.7371
3,2.030642,66.7191
4,2.0407952,66.7003
5,2.0509992,66.6805
6,2.0612542,66.6598
7,2.0715604,66.6382
8,2.0819182,66.6156
9,2.0923278,66.5921
10,2.1027895,66.5676
11,2.1133034,66.5422
12,2.1238699,66.5246
13,2.1344893,66.4974
14,2.1451617,66.469
15,2.1558875,66.4394
16,2.166667,66.4087
17,2.1775003,66.3767
18,2.1883878,66.3436
19,2.1993297,66.3092
20,2.2103264,66.2736
21,2.221378,66.2367
22,2.2324849,66.1985
23,2.2436473,66.159
24,2.2548656,66.1181
25,2.2661399,66.0759
26,2.2774706,66.0322
27,2.2888579,65.987
28,2.3003022,65.9404
29,2.3118037,65.8922
30,2.3233628,65.8425
31,2.3349796,65.7911
32,2.3466545,65.7381
33,2.3583878,65.6834
34,2.3701797,65.6269
35,2.3820306,65.5686
36,2.3939407,65.5084
37,2.4059104,65.4463
38,2.41794,65.3789
39,2.4300297,65.3122
40,2.4421798,65.2426
41,2.4543907,65.1702
42,2.4666627,65.0948
43,2.478996,65.0164
44,2.491391,64.9349
45,2.5038479,64.8501
46,2.5163672,64.7619
47,2.528949,64.6703
48,2.5415938,64.575
49,2.5543017,64.4758
50,2.5670732,64.3723
51,2.5799086,64.2642
52,2.5928082,64.1514
53,2.6057722,64.0336
54,2.6188011,63.9107
55,2.6318951,63.7824
56,2.6450545,63.6437
57,2.6582798,63.5034
58,2.6715712,63.3567
59,2.6849291,63.2033
60,2.6983537,63.0426
61,2.7118455,62.8742
62,2.7254047,62.6976
63,2.7390317,62.5122
64,2.7527269,62.3173
65,2.7664905,62.1121
66,2.780323,61.8959
67,2.7942246,61.6677
68,2.8081957,61.4262
69,2.8222367,61.1704
70,2.8363479,60.8988
71,2.8505296,60.6095
72,2.8647823,60.3008
73,2.8791062,59.9701
74,2.8935017,59.6148
75,2.9079692,59.2313
76,2.9225091,58.8155
77,2.9371216,58.3622
78,2.9518072,57.8647
79,2.9665662,57.3146
80,2.9813991,56.7005
81,2.9963061,56.0066
82,3.0112876,55.2321
83,3.026344,54.3068
84,3.0414758,53.168
85,3.0566831,51.711
86,3.0719666,49.7023
87,3.0873264,46.4433
88,3.102763,35.7559
89,3.1040119,31.3348
90,3.1057879,31.0702
91,3.1182768,44.6231
92,3.1338682,48.2915
93,3.1495376,50.1566
94,3.1652853,51.2628
95,3.1811117,51.8834
96,3.1970172,52.0846
97,3.2130023,51.7901
98,3.2290673,50.6134
