,keV,f1
0,2.0004844,68.1108
1,2.0104868,68.1016
2,2.0205393,68.0916
3,2.030642,68.0843
4,2.0407952,68.0728
5,2.0509992,68.0603
6,2.0612542,68.047
7,2.0715604,68.0329
8,2.0819182,68.0179
9,2.0923278,68.002
10,2.1027895,67.9852
11,2.1133034,67.9676
12,2.1238699,67.949
13,2.1344893,67.9296
14,2.1451617,67.9092
15,2.1558875,67.8879
16,2.166667,67.8721
17,2.1775003,67.8491
18,2.1883878,67.8251
19,2.1993297,67.7999
20,2.2103264,67.7736
21,2.221378,67.7463
22,2.2324849,67.7178
23,2.2436473,67.6881
24,2.2548656,67.6573
25,2.2661399,67.6253
26,2.2774706,67.5921
27,2.2888579,67.5576
28,2.3003022,67.5219
29,2.3118037,67.4849
30,2.3233628,67.4466
31,2.3349796,67.407
32,2.3466545,67.366
33,2.3583878,67.3235
34,2.3701797,67.2797
35,2.3820306,67.2343
36,2.3939407,67.1874
37,2.4059104,67.139
38,2.41794,67.0889
39,2.4300297,67.0372
40,2.4421798,66.9838
41,2.4543907,66.9287
42,2.4666627,66.8717
43,2.478996,66.8128
44,2.491391,66.7521
45,2.5038479,66.6893
46,2.5163672,66.6245
47,2.528949,66.5575
48,2.5415938,66.4858
49,2.5543017,66.4144
50,2.5670732,66.34
51,2.5799086,66.2626
52,2.5928082,66.1819
53,2.6057722,66.098
54,2.6188011,66.0107
55,2.6318951,65.9198
56,2.6450545,65.8253
57,2.6582798,65.7269
58,2.6715712,65.6183
59,2.6849291,65.5116
60,2.6983537,65.4006
61,2.7118455,65.2848
62,2.7254047,65.1638
63,2.7390317,65.0374
64,2.7527269,64.9053
65,2.7664905,64.7671
66,2.780323,64.6226
67,2.7942246,64.4713
68,2.8081957,64.3129
69,2.8222367,64.1468
70,2.8363479,63.9726
71,2.8505296,63.7897
72,2.8647823,63.5974
73,2.8791062,63.3951
74,2.8935017,63.182
75,2.9079692,62.9571
76,2.9225091,62.7195
77,2.9371216,62.4682
78,2.9518072,62.2019
79,2.9665662,61.9195
80,2.9813991,61.6199
81,2.9963061,61.3048
82,3.0112876,60.955
83,3.026344,60.5592
84,3.0414758,60.1236
85,3.0566831,59.6434
86,3.0719666,59.1109
87,3.0873264,58.5155
88,3.102763,57.8426
89,3.1182768,57.0708
90,3.1338682,56.1683
91,3.1495376,55.0837
92,3.1652853,53.7253
