,keV,f1
0,2.080733,8.30145
1,2.224304,8.28581
2,2.377781,8.26885
3,2.541848,8.25152
4,2.717235,8.23442
5,2.904724,8.21791
6,3.10515,8.20256
7,3.319406,8.18728
8,3.548445,8.17222
9,3.793288,8.15779
10,4.055024,8.14414
11,4.334821,8.13136
12,4.633924,8.11947
13,4.953664,8.10847
14,5.295467,8.09834
15,5.660855,8.08903
16,6.051453,8.08051
17,6.469004,8.07273
18,6.915365,8.06564
19,7.392525,8.0592
20,7.902609,8.05336
21,8.44789,8.04808
22,9.030794,8.04333
23,9.653919,8.03905
24,10.32004,8.03513
25,11.03212,8.03154
26,11.79334,8.02827
27,12.60708,8.0253
28,13.47697,8.02262
29,14.40688,8.02021
30,15.40095,8.01804
31,16.46362,8.01609
32,17.59961,8.01434
33,18.81398,8.01277
34,20.11215,8.01137
35,21.49988,8.01012
36,22.98338,8.009
37,24.56923,8.00801
38,26.2645,8.00713
39,28.07676,8.00633
40,30.01405,8.00562
41,32.08502,8.00498
42,34.29889,8.00442
43,36.66551,8.00392
44,39.19543,8.00347
45,41.89992,8.00307
46,44.79101,8.00272
47,47.88159,8.0024
48,51.18542,8.00213
49,54.71721,8.00188
50,58.4927,8.00166
51,62.5287,8.00147
52,66.84318,8.0013
53,71.45536,8.00114
54,76.38578,8.00101
55,81.6564,8.00089
56,87.29069,8.00079
57,93.31374,8.00069
58,99.75239,8.00061
59,106.6353,8.00054
60,113.9931,8.00048
61,121.8587,8.00042
62,130.2669,8.00037
63,139.2553,8.00033
64,148.864,8.00029
65,159.1356,8.00025
66,170.1159,8.00022
67,181.8539,8.0002
68,194.4018,8.00017
69,207.8156,8.00015
70,222.1548,8.00013
71,237.4835,8.00012
72,253.8699,8.0001
73,271.3869,8.00009
74,290.1126,8.00008
75,310.1304,8.00007
76,331.5294,8.00006
77,354.4049,8.00005
78,378.8588,8.00005
79,405.0001,8.00004
80,432.9451,8.00004
