,keV,f1
0,2.080733,69.504
1,2.224304,69.3177
2,2.377781,68.9539
3,2.541848,68.3469
4,2.717235,67.397
5,2.904724,65.8273
6,3.10515,62.7555
7,3.26536,56.4413
8,3.31534,49.8314
9,3.319406,48.5588
10,3.328668,42.6554
11,3.34866,48.9995
12,3.39864,53.8257
13,3.420984,54.3109
14,3.473346,52.1394
15,3.487309,47.2186
16,3.508254,53.6217
17,3.548445,59.1957
18,3.560616,60.2205
19,3.793288,68.991
20,3.965178,70.7696
21,4.02587,69.6889
22,4.042054,67.6045
23,4.055024,68.8475
24,4.066331,70.174
25,4.127022,72.8891
26,4.334821,76.4784
27,4.633924,78.8363
28,4.733792,79.134
29,4.806248,78.8658
30,4.82557,78.1943
31,4.854552,79.0758
32,4.927008,80.0402
33,4.953664,80.2534
34,5.078654,80.9038
35,5.156389,80.9152
36,5.177118,80.5251
37,5.208212,81.1716
38,5.285946,81.9615
39,5.295467,82.0302
40,5.660855,83.7431
41,6.051453,84.8168
42,6.469004,85.5864
43,6.915365,86.2858
44,7.392525,86.7388
45,7.902609,86.9518
46,8.44789,87.1749
47,9.030794,87.3194
48,9.653919,87.2509
49,10.32004,87.1265
50,11.03212,86.8947
51,11.79334,86.5667
52,12.60708,86.1496
53,13.47697,85.6059
54,14.40688,84.8326
55,15.40095,83.4505
56,15.97429,81.6017
57,16.2188,79.0611
58,16.284,76.0712
59,16.3818,79.0529
60,16.46362,80.3818
61,16.62631,81.7029
62,17.59961,84.149
63,18.81398,84.5346
64,19.29934,84.0137
65,19.59473,82.7868
66,19.67351,81.2699
67,19.79167,82.7857
68,20.06266,83.9989
69,20.08706,84.0465
70,20.11215,84.0894
71,20.36974,84.1042
72,20.45163,83.496
73,20.57446,84.4507
74,20.88154,85.5442
75,21.49988,86.6258
76,22.98338,87.9963
77,24.56923,88.8005
78,26.2645,89.343
79,28.07676,89.736
80,30.01405,89.9689
81,32.08502,90.1138
82,34.29889,90.2537
83,36.66551,90.2855
84,39.19543,90.2857
85,41.89992,90.3247
86,44.79101,90.2774
87,47.88159,90.2124
88,51.18542,90.1362
89,54.71721,90.0521
90,58.4927,89.9624
91,62.5287,89.8678
92,66.84318,89.7685
93,71.45536,89.6635
94,76.38578,89.5493
95,81.6564,89.4238
96,87.29069,89.2693
97,93.31374,89.0604
98,99.75239,88.7342
99,106.6353,87.9446
100,107.4579,87.7255
101,109.1026,86.7428
102,109.5413,85.568
103,110.1992,86.7915
104,111.8439,87.8609
105,113.9931,88.4013
106,121.8587,89.2165
107,130.2669,89.5995
108,139.2553,89.8307
109,148.864,89.9822
110,159.1356,90.0854
111,170.1159,90.1548
112,181.8539,90.2007
113,194.4018,90.2299
114,207.8156,90.2469
115,222.1548,90.2549
116,237.4835,90.2562
117,253.8699,90.2533
118,271.3869,90.2471
119,290.1126,90.2387
120,310.1304,90.2286
121,331.5294,90.2174
122,354.4049,90.2056
123,378.8588,90.1936
124,405.0001,90.1815
125,432.9451,90.1695
