,keV,f1
0,2.080733,70.8077
1,2.224304,70.7175
2,2.377781,70.4533
3,2.541848,69.9855
4,2.717235,69.2284
5,2.904724,68.0338
6,3.10515,66.0065
7,3.319406,60.9274
8,3.372964,58.1306
9,3.424591,52.0006
10,3.438358,45.548
11,3.459009,50.8881
12,3.510636,54.8531
13,3.538976,55.2403
14,3.548445,55.2074
15,3.593144,52.9824
16,3.607589,48.3109
17,3.629256,54.411
18,3.683424,60.7885
19,3.793288,66.3647
20,4.055024,71.8484
21,4.090324,71.9797
22,4.152931,71.0026
23,4.169626,68.9424
24,4.194669,71.5401
25,4.257276,74.3148
26,4.334821,76.0516
27,4.633924,79.3694
28,4.900882,80.5241
29,4.953664,80.4272
30,4.975895,80.2284
31,4.995899,79.5584
32,5.025904,80.4156
33,5.100918,81.3388
34,5.259562,82.148
35,5.295467,82.2146
36,5.340065,82.1358
37,5.361533,81.7427
38,5.393734,82.3772
39,5.474238,83.1425
40,5.660855,84.1112
41,6.051453,85.3779
42,6.469004,86.2622
43,6.915365,87.0698
44,7.392525,87.6251
45,7.902609,87.9055
46,8.44789,88.1798
47,9.030794,88.3335
48,9.653919,88.3089
49,10.32004,88.2175
50,11.03212,88.0177
51,11.79334,87.7227
52,12.60708,87.3451
53,13.47697,86.8612
54,14.40688,86.2028
55,15.40095,85.1599
56,16.39844,82.6512
57,16.46362,82.2583
58,16.64944,80.121
59,16.71637,77.141
60,16.81677,80.1159
61,17.06776,82.761
62,17.59961,84.5178
63,18.81398,85.6756
64,19.90743,85.0829
65,20.11215,84.4801
66,20.21213,83.853
67,20.29339,82.3394
68,20.41527,83.8467
69,20.68251,85.0222
70,20.71997,85.0933
71,20.99908,85.1412
72,21.0835,84.5398
73,21.21012,85.4892
74,21.49988,86.5135
75,21.52669,86.5772
76,22.98338,88.499
77,24.56923,89.4946
78,26.2645,90.138
79,28.07676,90.5887
80,30.01405,90.8676
81,32.08502,91.0439
82,34.29889,91.2097
83,36.66551,91.2605
84,39.19543,91.273
85,41.89992,91.2968
86,44.79101,91.2866
87,47.88159,91.2296
88,51.18542,91.1591
89,54.71721,91.0794
90,58.4927,90.9933
91,62.5287,90.902
92,66.84318,90.806
93,71.45536,90.7049
94,76.38578,90.5963
95,81.6564,90.4821
96,87.29069,90.3401
97,93.31374,90.1568
98,99.75239,89.892
99,106.6353,89.3943
100,110.3494,88.7393
101,112.0384,87.7637
102,112.4888,86.5975
103,113.1644,87.8121
104,113.9931,88.5011
105,114.8534,88.8736
106,121.8587,89.9853
107,130.2669,90.4719
108,139.2553,90.7481
109,148.864,90.9248
110,159.1356,91.0438
111,170.1159,91.1248
112,181.8539,91.1789
113,194.4018,91.214
114,207.8156,91.2355
115,222.1548,91.247
116,237.4835,91.2508
117,253.8699,91.2497
118,271.3869,91.245
119,290.1126,91.2377
120,310.1304,91.2286
121,331.5294,91.2181
122,354.4049,91.2069
123,378.8588,91.1953
124,405.0001,91.1835
125,432.9451,91.1717
