,keV,f1
0,2.080733,71.8915
1,2.224304,71.9718
2,2.377781,71.8121
3,2.541848,71.4495
4,2.717235,70.8654
5,2.904724,69.9412
6,3.10515,68.6251
7,3.319406,65.439
8,3.480666,59.7039
9,3.533942,53.8613
10,3.548445,47.4966
11,3.569459,52.6347
12,3.622734,56.173
13,3.653048,56.5213
14,3.708962,54.624
15,3.723872,50.7198
16,3.746238,55.7172
17,3.793288,60.5481
18,3.802152,61.1356
19,4.055024,70.7049
20,4.217332,73.0339
21,4.281883,72.236
22,4.299097,70.244
23,4.324917,72.8482
24,4.334821,73.5305
25,4.389468,75.6949
26,4.633924,79.742
27,4.953664,81.7842
28,5.078556,82.0216
29,5.156289,81.6845
30,5.177018,81.0069
31,5.208111,81.8451
32,5.285844,82.7243
33,5.295467,82.7906
34,5.43704,83.4056
35,5.52026,83.3692
36,5.542452,82.9745
37,5.57574,83.591
38,5.660855,84.3339
39,6.051453,85.8919
40,6.469004,86.8845
41,6.915365,87.6315
42,7.392525,88.34
43,7.902609,88.8088
44,8.44789,89.0434
45,9.030794,89.3244
46,9.653919,89.3484
47,10.32004,89.2472
48,11.03212,89.1021
49,11.79334,88.8563
50,12.60708,88.5144
51,13.47697,88.0793
52,14.40688,87.5056
53,15.40095,86.6632
54,16.46362,84.9904
55,16.82297,83.702
56,17.08047,81.184
57,17.14913,78.2159
58,17.25213,81.1816
59,17.50963,83.8201
60,17.59961,84.2601
61,18.81398,86.5214
62,20.11215,86.643
63,20.52865,86.1569
64,20.84286,84.9264
65,20.92665,83.4187
66,21.05234,84.9155
67,21.32225,86.0676
68,21.36655,86.1487
69,21.49988,86.2893
70,21.64861,86.1911
71,21.73564,85.5954
72,21.86619,86.5378
73,22.19255,87.6176
74,22.98338,88.844
75,24.56923,90.1206
76,26.2645,90.8923
77,28.07676,91.4167
78,30.01405,91.7506
79,32.08502,91.9635
80,34.29889,92.0978
81,36.66551,92.2294
82,39.19543,92.2566
83,41.89992,92.2905
84,44.79101,92.2915
85,47.88159,92.2438
86,51.18542,92.1798
87,54.71721,92.1051
88,58.4927,92.0229
89,62.5287,91.9351
90,66.84318,91.8426
91,71.45536,91.7453
92,76.38578,91.6425
93,81.6564,91.5374
94,87.29069,91.4048
95,93.31374,91.2401
96,99.75239,91.0167
97,106.6353,90.6512
98,113.294,89.754
99,113.9931,89.5066
100,115.0281,88.7858
101,115.4905,87.6284
102,116.1841,88.8339
103,117.9182,89.8873
104,121.8587,90.6637
105,130.2669,91.3182
106,139.2553,91.6532
107,148.864,91.8604
108,159.1356,91.9976
109,170.1159,92.0914
110,181.8539,92.1545
111,194.4018,92.1962
112,207.8156,92.2226
113,222.1548,92.2378
114,237.4835,92.2446
115,253.8699,92.2454
116,271.3869,92.2423
117,290.1126,92.2362
118,310.1304,92.2281
119,331.5294,92.2184
120,354.4049,92.2078
121,378.8588,92.1966
122,405.0001,92.1851
123,432.9451,92.1736
