,keV,f1
0,2.080733,9.36013
1,2.224304,9.34689
2,2.377781,9.33207
3,2.541848,9.31652
4,2.717235,9.30109
5,2.904724,9.28588
6,3.10515,9.26977
7,3.319406,9.25188
8,3.548445,9.23378
9,3.793288,9.21598
10,4.055024,9.19881
11,4.334821,9.18245
12,4.633924,9.167
13,4.953664,9.15253
14,5.295467,9.13905
15,5.660855,9.12654
16,6.051453,9.115
17,6.469004,9.10438
18,6.915365,9.09464
19,7.392525,9.08575
20,7.902609,9.07766
21,8.44789,9.07041
22,9.030794,9.06412
23,9.653919,9.05787
24,10.32004,9.05214
25,11.03212,9.04693
26,11.79334,9.04219
27,12.60708,9.0379
28,13.47697,9.03403
29,14.40688,9.0305
30,15.40095,9.02731
31,16.46362,9.02442
32,17.59961,9.02183
33,18.81398,9.01949
34,20.11215,9.01739
35,21.49988,9.01551
36,22.98338,9.01382
37,24.56923,9.01231
38,26.2645,9.01096
39,28.07676,9.00976
40,30.01405,9.00868
41,32.08502,9.00772
42,34.29889,9.00685
43,36.66551,9.00608
44,39.19543,9.00539
45,41.89992,9.00478
46,44.79101,9.00424
47,47.88159,9.00375
48,51.18542,9.00332
49,54.71721,9.00294
50,58.4927,9.0026
51,62.5287,9.0023
52,66.84318,9.00204
53,71.45536,9.0018
54,76.38578,9.00159
55,81.6564,9.0014
56,87.29069,9.00124
57,93.31374,9.0011
58,99.75239,9.00097
59,106.6353,9.00085
60,113.9931,9.00075
61,121.8587,9.00066
62,130.2669,9.00059
63,139.2553,9.00052
64,148.864,9.00046
65,159.1356,9.0004
66,170.1159,9.00035
67,181.8539,9.00031
68,194.4018,9.00027
69,207.8156,9.00024
70,222.1548,9.00021
71,237.4835,9.00019
72,253.8699,9.00017
73,271.3869,9.00015
74,290.1126,9.00013
75,310.1304,9.00011
76,331.5294,9.0001
77,354.4049,9.00009
78,378.8588,9.00008
79,405.0001,9.00007
80,432.9451,9.00006
